"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"C06C","DETONATING OR PRIMING DEVICES; FUSES  (ammunition fuzes F42C); CHEMICAL LIGHTERS; PYROPHORIC COMPOSITIONS","F42C","Explosives or thermic compositions; Manufacture thereof; use of single substances as explosivesFire-lightersAlloys in generalIgnitionLighters containing fuel, e.g. for cigarettes, characterised by catalytic ignition of fuelNon-chemical aspects of flintsArrangement of catalytic ignitersBlasting cartridges, i.e. case and explosiveArming or safety means for ammunition fuzesBlasting","C06B|C10L11/00|C22C|F23Q|F23Q2/30|F23Q2/48|F23Q11/00|F42B3/00|F42C|F42D","","","PyrophoricPyrophoric (Greek, meaning fire-bearing) materials are finely divided chemical substances, mostly metals, which at room temperature vehemently react with the oxygen contained in air. The energy released in this oxidation process is sufficient to make substances glow or blaze. Therefore a pyrophoric material can spontaneously ignite in air.","This place covers: Fuses, e.g. fuse cords. Non-electric detonators. Blasting caps. Primers. Chemical contact igniters. Chemical lighters. Pyrophoric compositions. Flints."
"C06C5/06","Fuse igniting means; Fuse connectors","","Ignition systems for methods or apparatus for obtaining oil, gas, water, soluble or meltable materials or a slurry of minerals from wells  Blasting methods or apparatus, e.g. loading or tamping Arrangements for ignition ","E21B43/1185|F42D1/04","","","","This place covers: Compositions of delay mixtures"
"C06C7/00","Non-electric detonators; Blasting caps; Primers","","","","","","","This place covers: Boosters"
"C06C15/00","Pyrophoric compositions; Flints  (chemical lighters C06C9/00; alloys in general C22C)","C06C9/00|C22C","NapalmCompositions for flashlightsCompositions for luminescenceExothermal heat producing compositions Fireworks - ","C10L7/02|F21K|F21K|F24V30/00|F42B4/00|F42B4/30","","","","This place covers: Incendiary compositions. Tracers, chemical light sources, illuminating compositions"
