"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G10G","REPRESENTATION OF MUSIC; RECORDING MUSIC IN NOTATION FORM; ACCESSORIES FOR MUSIC OR MUSICAL INSTRUMENTS NOT OTHERWISE PROVIDED FOR, e.g. SUPPORTS  (music stands A47B; non-musical aspects of musical toy instruments A63H5/00; metronomes G04F5/02; teaching music G09B15/00)","A47B|A63H5/00|G04F5/02|G09B15/00","Musical toys per sePage turnersControlling humidityTeaching music","A63H|B42D9/04|F26B21/08|G09B15/00","","","","This place covers: Musical aids, e.g., means for the representation of music, chord or note indicators for keyboards or fingerboards, means for transposing or transcribing music. Recording music in notation form, e.g., recording the mechanical operation of a musical instrument. Support means for musical instruments. Other auxiliary devices or accessories, e.g., separate holders for resin or strings, conductor's batons and tuning forks or like devices."
"G10G1/00","Means for the representation of music","","","","","","","This place covers: Electronic displays of sheet music."
"G10G5/00","Supports for musical instruments {(cellopins or components therefor G10D3/01)}","G10D3/01","Stands or trestles","F16M11/00","","","",""
"G10G7/00","Other auxiliary devices or accessories, e.g. conductors' batons or separate holders for resin or strings","","","","","","","This place covers: Music stands fixed to the musical instrument Covers for musical instruments Conductors' batons, majorettes' batons Means for transporting musical instruments Humidifiers used within musical instruments Electronic tuning meters"
"G10G7/005","{Carrying cases for musical instruments  (interior fittings for luggage A45C13/02)}","A45C13/02","LuggageInterior fittings for luggageCarrying straps for travelling or camp articles, Carrying harnessesContainers specially adapted to protect contents from mechanical damage","A45C5/00|A45C13/02|A45F3/14|A45F5/00|A47B19/00|B65D81/02","","","",""
"G10G7/02","Tuning forks or like devices","","Crystal Tuning Forks","H03H9/21","","","",""
