"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A01C","PLANTING; SOWING; FERTILISING  (parts, details or accessories of agricultural machines or implements, in general A01B51/00 - A01B75/00)","A01B51/00|A01B75/00","Combined with general working of soilSowing and fertilizing with aircraft - Apparatus for spreading sand or salt","A01B49/04|B64D1/16|B64D1/20|E01C","","","PlantAny of a kingdom (Plantae) of multicellular eukaryotic mostly photosynthetic organisms typically lacking locomotive movement or obvious nervous or sensory organs and possessing cellulose cell walls.",""
"A01C1/00","Apparatus, or methods of use thereof, for testing or treating seed, roots, or the like, prior to sowing or planting","","Chemicals for testing or treating seed, roots - Irradiation in generalSampling of (parts of) seeds for testing","A01N25/00|A01N65/00|B01J19/08|G01N","","","","This place covers: General methods and apparatuses for treating seeds, involving mechanical means."
"A01C1/02","Germinating apparatus; Determining germination capacity of seeds or the like","","Germinating in preparation of malt","C12C1/027","","","",""
"A01C1/025","{Testing seeds for determining their viability or germination capacity}","","Sampling of (parts of) seeds for testing","G01N","","","","This place covers: Testing, but not obtaining samples for testing, whereby the testing for viability is non-destructive."
"A01C1/046","{Carrier compositions}","","","","","","",""
"A01C1/06","Coating or dressing seed","","Artificial seedsChemical coating compositions for seeds","A01H4/006|C09D133/00","","","","This place covers: Mechanical means/machines, e.g. nozzles, used for coating seeds or mechanical aspects of the coating."
"A01C1/08","Immunising seed","","","","","","",""
"A01C3/00","Treating manure; Manuring","","Liquid manurePloughs with additional arrangements for putting manure under the soilDung forksTreating of waste water, sewage or sludgeOrganic fertilisers from waste or refuse","A01C23/00|A01B17/002|A01D9/00|C02F|C05F","","","","This place covers: General methods for treating manure for its specific use as an agricultural input."
"A01C3/02","Storage places for manure, e.g. cisterns for liquid manure; Installations for fermenting manure","","Sewerage structuresSilos, bunkers","E03F5/00|E04H7/22","","","",""
"A01C3/023","{Digesters}","","Bioreactors and fermenters in general - ","C12M21/00|C12M99/00","","","",""
"A01C3/025","{with heat recuperation means}","","Bioreactors and fermenters with heat exchange systems ","C12M21/04","","","",""
"A01C3/026","{with mixing or agitating devices}","","Bioreactors and fermenters with mixing means","C12M27/00","","","",""
"A01C3/028","{Covers, roofs or other structures for covering manure storage places}","","Production of methane or biogasBioreactors and fermenters with production of methane or biogasCoverings for swimming or splash baths or pools","C02F11/04|C12M21/04|E04H4/10","","","",""
"A01C3/04","Manure loaders","","Loaders in general","B65G","","","",""
"A01C5/00","Making or covering furrows or holes for sowing, planting or manuring  (ploughs for making ridges A01B13/02)","A01B13/02","Agricultural soil working not specifically for these purposes","A01B","","","",""
"A01C5/02","Hand tools for making holes for sowing, planting or manuring","","Transplanting devices for trees","A01G23/02","","","",""
"A01C5/045","{with piercing buckets}","","Devices for laying-out or removing protective coverings for plants","A01G13/02","","","",""
"A01C5/06","Machines for making or covering drills or furrows for sowing or planting","","Seeders depositing seeds in rowsLifting devices for agricultural machines","A01C7/08|A01B63/00","All aspects not covered in subgroups of  are classified here. A single document can have a group symbol in more than one of the subgroups, if the respective relevant information is covered by them.","A01C5/06","",""
"A01C5/068","{Furrow packing devices, e.g. press wheels}","","Depth regulating wheels","A01C7/203","","","",""
"A01C7/00","Sowing","","Sowing with centrifugal wheelsArrangement for driving working parts of seeders","A01C17/00|A01C19/00","","","",""
"A01C7/006","{Minimum till seeding}","","Combination of soil working tools for planting","A01B49/06","Specific details about the soil cutting or furrowing tools are additionally classified in the corresponding group under the subclass .","A01B","","This place covers: Tool or combinations of tools minimum till sowing techniques."
"A01C7/02","Hand sowing implements","","Fertiliser distributors for hand useTools for cultivation, ","A01C15/02|A01G20/30|A01G20/40","","","",""
"A01C7/04","Single-grain seeders with or without suction devices","","Devices for adjusting the seed-box; Regulation of machines for depositing quantities at intervalsMachines for depositing quantities of seed at intervals","A01C7/10|A01C7/18","","","",""
"A01C7/042","{using pneumatic means}","","Aspects of pneumatic seeders not related to the singulating of seeds","A01C7/081","","","",""
"A01C7/06","Seeders combined with fertilising apparatus","","Conducting and depositing seedApparatus for two kinds of fertiliserCombinations with soil working tools","A01C7/20|A01C15/00|A01B49/04","General aspects are classified here. This group symbol must always be combined with the relevant group symbol for the particular invention (distributing system, furrowing tools, regulation, etc.)","","",""
"A01C7/081","{Seeders depositing seeds in rows using pneumatic means}","","Particular aspects of seed singulating systems using pneumatic meansSpecific aspects for fertilizer distribution, i.e. distribution of powder fertilisants","A01C7/042|A01C15/04","","","",""
"A01C7/082","{Ducts, distribution pipes or details thereof for pneumatic seeders}","","Non-pneumatic seed pipes","A01C7/206","In this group also the relevant aspects of distribution of granular fertilizer using pneumatic means are classified.","","",""
"A01C7/105","{Seed sensors}","","","","","","","This place covers: Sensors for counting or detecting the passage of seeds."
"A01C7/16","Seeders with other distributing devices, e.g. brushes, discs, screws or slides","","Seeders with distributing slotsSeeders with slidesSeeders with chains","A01C15/06|A01C15/124|A01C15/18","","","",""
"A01C7/166","{Centrifugal distributors}","","Pneumatic distributors","A01C15/04","","","",""
"A01C7/18","Machines for depositing quantities of seed at intervals","","Dibble seedersSingle-grain seedersRegulationRidge marking","A01C7/002|A01C7/04|A01C7/102|A01B69/02","","","",""
"A01C7/20","Parts of seeders for conducting and depositing seed","","Parts combined with fertilising apparatus","A01C7/06","","","",""
"A01C7/205","{comprising pressure regulation means}","","Press wheels","A01C5/068","","","","This place covers: Means for adjusting or maintaining a uniform pressure, even if they have an effect on the depth regulation."
"A01C7/208","{Chassis; Coupling means to a tractor or the like; Lifting means; Side markers}","","Hoppers for seeders or spreaders","A01C15/006","","","",""
"A01C9/00","Potato planters","","Planting by handRidge forming tools and Combinations with soil working tools","A01C7/02|A01B13/02|A01B39/14|A01B49/04","","","","This place covers: Planting of all types of tubers, bulbs and similar big, round shaped reproductive material."
"A01C9/04","with bucket wheels","","Potato planters with other distributing devices","A01C9/08","","","",""
"A01C9/08","with other distributing devices, e.g. flaps, screws, horizontal turning plates","","Potato planters with bucket wheels","A01C9/04","","","",""
"A01C11/00","Transplanting machines","","Hand sowingCarriers for supporting personsTransplanting seedlings or plants into potsTransplanting devices for trees","A01C7/02|A01B75/00|A01G|A01G23/02","","","",""
"A01C11/006","{Other parts or details or planting machines}","","","","Specific aspects of transplanting machines not covered in the other subgroups, like pivoting frames, wheels, furrowing tools, etc. are classified in this group. When appropriate, documents are additionally classified in  and in .","A01C5/00|A01B","",""
