"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B21K1/64","nuts  (making screw-thread B21K1/56)","B21K1/56","Pressing nuts from metal sheet without substantially modifying the metal sheet thicknessNuts","B21D53/24|F16B37/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of nuts."
"B21K1/66","from strip bars","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of nuts from strip bars. Illustrative examples of subject matter classified in this group:"
"B21K1/68","from round or profiled bars","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of nuts from round or profiled bars. Illustrative examples of subject matter classified in this group:"
"B21K1/70","of special shape, e.g. self-locking nuts, wing nuts","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of nuts of special shape, e.g. self-locking nuts, wing nuts."
"B21K1/701","{Weld nuts}","","Weld nuts","F16B37/061","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of weld nuts. Illustrative examples of subject matter classified in this group:"
"B21K1/702","{Clinch nuts}","","Setting pierce-nutsNuts deforming the material of the support","B23P19/062|F16B37/068","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of clinch nuts. Illustrative examples of subject matter classified in this group:"
"B21K1/704","{Cap nuts}","","Cap nuts","F16B37/14","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of cap nuts. Illustrative examples of subject matter classified in this group:"
"B21K1/705","{Castellated nuts}","","Locking of nuts with a member penetrating the screw-threaded surface","F16B39/04","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of castellated nuts. Illustrative examples of subject matter classified in this group:"
"B21K1/707","{Self-locking nuts}","","Locking of nuts provided with locking members","F16B39/28","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of self-locking nuts. Illustrative examples of subject matter classified in this group:"
"B21K1/708","{wing nuts}","","Wing nuts","F16B37/16","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of wing nuts. Illustrative examples of subject matter classified in this group:"
"B21K1/72","hooks, e.g. crane hooks, railway track spikes  (making nails in general B21G)","B21G","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of hooks, e.g. crane hooks, railway track spikes. Illustrative examples of subject matter classified in this group:"
"B21K1/74","forked members or members with two or more limbs, e.g. U-bolts, anchors","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of forked members or members with two or more limbs, e.g. U-bolts, anchors. Illustrative examples of subject matter classified in this group:"
"B21K1/76","elements not mentioned in one of the preceding groups","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of machine elements not mentioned in one of the preceding groups."
"B21K1/761","{rings}","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of rings. Illustrative examples of subject matter classified in this group:"
"B21K1/762","{Coupling members for conveying mechanical motion, e.g. universal joints}","","Ball jointsUniversal joints","F16C11/06|F16D3/16","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of coupling members for conveying mechanical motion, e.g. universal joints. Illustrative examples of subject matter classified in this group:"
"B21K1/766","{Connecting rods}","","Connecting rods","F16C7/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of connecting rods. Illustrative examples of subject matter classified in this group:"
"B21K1/767","{Toothed racks}","","Rack and pinion steering gearsRacks","B62D3/12|F16H55/26","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of toothed racks. Illustrative examples of subject matter classified in this group:"
