"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F16G11/00","Means for fastening cables or ropes to one another or to other objects; Caps or sleeves for fixing on cables or ropes  (attaching ropes or cables to lift cars or cages B66B7/08, to winch drums or barrels B66D1/34; ground anchors E02D5/00; anchoring devices for prestressed members E04C5/00; rope clamps in earth drilling E21B19/12)","B66B7/08|B66D1/34|E02D5/00|E04C5/00|E21B19/12","Safety window cleaning Safety belts or harnesses in general , Rope safety clamp devices , Safety mountainering Straining wire in general Securing of loads Fastening equipment for ropes on ships Adaptations of ropes or the like on ships Arrangements for ropes or cables for connection to elevator cars or cages Attachment of ropes or cables to drums or barrels of winding mechanisms Harness for animal Making nets Ropes or cables in general Cable clamps for suspension bridge cables Ground anchors Anchoring devices for prestressed members Safety in buildings Rope clamps in earth drilling ","A47L3/04|A62B35/00|B63B21/08|A62B35/04|A62B1/14|A63B29/02|B21F9/00|B60P7/06|B63B21/04|B63B21/20|B66B7/08|B66D1/34|B68B|D04G1/00|D07B|E01D19/16|E02D5/80|E04C5/00|E04G21/32|E21B19/12","","","","This place covers: Fittings and attachments primarily intended to be connected to or used with cables or ropes. Different sorts of assembly not covered by the subgroups. Example (EP2297419): Magnets (US2011108217): Thimble (WO2009059445):"
"F16G11/02","with parts deformable to grip the cable or cables; Fastening means which engage a sleeve or the like fixed on the cable","","","","","","","This place covers: Illustrative example of subject matter classified in this group (US4939831):  Crimping of sleeves (GB1254277): "
"F16G11/03","incorporating resiliently-mounted members for attachment of the cable end","","","","","","","This place covers: Illustrative example of subject matter classified in this group (DE102009015290):"
"F16G11/04","with wedging action, e.g. friction clamps  (F16G11/02, {F16G11/10} take precedence; {eyes for grommet-thimble type fastenings F16G11/146})","F16G11/02|F16G11/10|F16G11/146","","","","","","This place covers: Illustrative examples of subject matter classified in this group (EP2297471): and (FR2951795):"
"F16G11/05","by using conical plugs insertable between the strands","","","","","","","This place covers: Illustrative example of subject matter classified in this group (GB2313852): "
"F16G11/06","with laterally-arranged screws  (F16G11/02, F16G11/04 take precedence)","F16G11/02|F16G11/04","","","","","","This place covers: Illustrative example of subject matter classified in this group (US7624479): "
"F16G11/08","Fastenings for securing ends of driving-cables to one another, the fastenings having approximately the same diameter as the cables","","","","","","","This place covers: Illustrative example of subject matter classified in this group (US4678360): "
"F16G11/09","incorporating hinge joints or pivots for the attachment of the cable ends","","","","","","","This place covers: Illustrative example of subject matter classified in this group (GB191007934): "
"F16G11/10","Quick-acting fastenings; Clamps holding in one direction only","","Holding devices for laces, Clamps for straps like e.g. for safety beltsSafety window cleaningRope safety clamp devices, Safety mountaineringRope cleatSafety in buildings","A43C7/00|A43C1/06|A44B11/06|A47L3/04|A62B35/04|A62B1/14|A63B29/02|B63B21/08|E04G21/32","","","","This place covers: Illustrative examples of subject matter classified in this group (WO2009112806): (US2009064473): (WO2006105866):"
"F16G11/12","Connections or attachments, e.g. turnbuckles, adapted for straining of cables, ropes, or wire  (straining wire in general B21F9/00)","B21F9/00","Clamps for straps like e.g. for safety beltsFastening/connecting/tensioningSecuring of loadsTightenersBundling using buckles","A44B11/06|B25B25/00|B60P7/06|B60P7/0823|B65D63/16","This group applies only for cables ropes or wires and not for belts","","","This place covers: Illustrative examples of subject matter classified in this group (US2010275417): and (US7451962):"
"F16G11/14","Devices or coupling-pieces designed for easy formation of adjustable loops, e.g. choker hooks; Hooks or eyes with integral parts designed to facilitate quick attachment to cables or ropes at any point, e.g. by forming loops","","Safety belts or harnesses in generalSafety mountaineringFastening of RopesChokersCrane hooks Hooks or eyes in general","A62B35/00|A63B29/02|B63B21/04|B66C1/14|B66C1/34|F16B45/00","","","","This place covers: Illustrative examples of subject matter classified in this group: and (US5950284):"
"F16G13/00","Chains  (making thereof B21L)","B21L","Making of chains by mechanical metal-working without essentially removing material or by punching metalMaking of chains by castingMaking of chains by shaping or joining of plastics or by shaping of substances in a plastic state, in general, Traction chains for conveyors, Heat treatments for chains or chain links","B21L|B22D25/02|B29C|B29L2031/12|B65G17/38|B65G19/20|C21D9/0087","","","",""
"F16G13/02","Driving-chains  (specially adapted to gearings with variable gear-ratio F16H9/00)","F16H9/00","","","","","","This place covers: Illustrative example of subject matter classified in this group (EP2258653):"
"F16G13/04","Toothed chains","","","","","","","This place covers: Illustrative example of subject matter classified in this group (WO2010030669):"
"F16G13/06","with links connected by parallel driving-pins with or without rollers {so called open links  (if the parallel coupling pins have only a joining function - so called closed links - F16G13/02)}","F16G13/02","","","","","","This place covers: Illustrative example of subject matter classified in this group (DE102008062935):"
"F16G13/07","the links being of identical shape, e.g. cranked","","","","","","","This place covers: Illustrative example of subject matter classified in this group (US 4553791):"
"F16G13/08","with links closely interposed on the joint pins  (F16G13/04 takes precedence)","F16G13/04","","","","","","This place covers: Illustrative example of subject matter classified in this group (US2010069188):"
"F16G13/10","with universal joints","","","","","","","This place covers: Illustrative examples of subject matter classified in this group (EP1235000): and (WO03091599):"
"F16G13/12","Hauling- or hoisting-chains {so called ornamental chains}","","","","","","","This place covers: Illustrative examples of subject matter classified in this group (WO2007009517):"
"F16G13/16","with arrangements for holding electric cables, hoses, or the like","","Protective arrangements for electric wires in vehiclesMeans for guiding or supporting belts Protective tubings or conduits for electric cables made of articulated unitsArrangements of electric cables using an extensible carrier","B60R16/0215|F16H7/18|H02G3/0475|H02G11/006","","","","This place covers: Illustrative example of subject matter classified in this group (US2008120958): "
"F16G13/18","Chains having special overall characteristics","","Conveyor with chains or like traction elementsJacks for lifting loadsThrust chain devicesPush pull chains for wings, ","B65G17/38|B66F3/06|B66F13/005|E05F11/04|E05F15/619","","","","This place covers: Push pull chains. Illustrative examples (US2010223901): and (EP2146033): and other special characteristics of chains."
"F16G15/00","Chain couplings, Shackles; Chain joints; Chain links; Chain bushes  (making chain elements B21L)","B21L","Fastening equipment for chains on shipsAdaptations of chains or the like on ships","B63B21/04|B63B21/20","","","","This place covers: means for coupling chains; components of chains, e.g. shackles, swivels, chain joints, chain links or chain bushes;"
"F16G15/02","for fastening more or less permanently","","","","","","","This place covers: Illustrative example of subject matter classified in this group (DE10119307):"
"F16G15/04","Quickly-detachable chain couplings; Shackles {chain links with rapid junction means are classified according to the corresponding kind of chain}","","Hooks for sailing purposeSnaphookHooksHooks with pivoting closing memberHooks with sliding closing member","B63H9/08|F16B45/00|F16B45/00|F16B45/02|F16B45/04","","","","This place covers: Illustrative example of subject matter classified in this group (US2011028255):"
"F16G15/06","Shackles designed for attachment by joint pins to chain elements, e.g. D-shackles {so called harp links; the D-chain links are classified according to the corresponding kind of chain}","","","","","","","This place covers: Illustrative example of subject matter classified in this group (US2004075287):"
"F16G15/08","Swivels","","Swivels for fishing purpose","A01K91/04","","","","This place covers: Illustrative example of subject matter classified in this group (US2009208274):"
"F16G15/12","Chain links","","","","","","","This place covers: Illustrative example of subject matter classified in this group (US7032372):"
"F16G17/00","Hooks as integral parts of chains  (hooks for cranes B66C1/34; hooks in general F16B45/00)","B66C1/34|F16B45/00","","","","","","This place covers: Hooks as integral parts of chains. Illustrative example (FR2855580): "
