"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F23M","CASINGS, LININGS, WALLS OR DOORS SPECIALLY ADAPTED FOR COMBUSTION CHAMBERS, e.g. FIREBRIDGES; DEVICES FOR DEFLECTING AIR, FLAMES OR COMBUSTION PRODUCTS IN COMBUSTION CHAMBERS; SAFETY ARRANGEMENTS SPECIALLY ADAPTED FOR COMBUSTION APPARATUS; DETAILS OF COMBUSTION CHAMBERS, NOT OTHERWISE PROVIDED FOR","","Construction or support of tube walls for steam boilers Combustion chambers and related components specially adapted for generating combustion products of high pressure or high velocity Details of heat-treatment chambers","F22B|F23R|F27D","When classifying in this subclass, add also codes -.Codes - are not used.","F23M2900/05001|F23M2900/13004|F23M2700/00|F23M2700/008","Aira mixture of gases containing free oxygen and able to promote or support combustionPrimary airair supplied to the burning fuel in order to liberate combustible gasesSecondary airair supplied to the combustible gases liberated by the primary air in order to complete their combustion. The term ""secondary air"" covers ""tertiary air"" etc.Ashmeans any solid combustion residues, for example remaining in the fuel bed or suspended in the flue gasesBurnera device by which fluid fuel or solid fuel suspended in air is passed to a combustion space where it burns to produce a self-supporting flameCombustionmeans the direct combination of oxygen gas, e.g. in air, and a burnable substanceCombustion chambera chamber in which fuel is burned to establish a self-supporting fire or flame and which surrounds that fire or flameCombustion zonethe part of the apparatus where the reaction takes place between air and fuelFirebridgea low wall separating the fuel bed from adjacent flue gas passages in apparatus for combustion of solid fuel, for example in reverberatory furnaces or fire-tube boilersFlue gasesany gaseous products of combustionGratea perforated surface, e.g. a grid, which supports or delimits a bed of burning fuel and serves to supply primary air","This place covers: Constructional details of combustion chambers, including accessories and peripheral devices such as for example lining, cooling, baffles for creating special flow path, doors, heat storage means independently of the type of the fuel which is burned. Safety measures. Noise reduction means."
"F23M3/00","Firebridges","","Firebridges modified for circulation of fluids, e.g. air, steam, waterBaffles not confining the fire ","F23M3/02|F23M9/06","","","",""
"F23M5/00","Casings; Linings; Walls","","Casings characterised by the shape of the bricks or blocks usedSupport for liningsCeramic materials, Construction or support of tube walls for steam boilersCasings, linings, or walls of heat-treatment chambers of ovens, kilns, or retorts ","F23M5/02|F23M5/04|C04B33/00|C04B35/00|F22B|F27D","","","",""
"F23M5/02","characterised by the shape of the bricks or blocks used","","Ceramic materials , ","C04B33/00|C04B35/00","","","",""
"F23M7/00","Doors","","Doors in general Doors for flues or smoke-boxes ","E06B|F23J13/08","","","",""
"F23M9/00","Baffles or deflectors for air or combustion products  (baffles or deflectors for air or combustion products structurally associated with burners F23D); Flame shields","F23D","Interconnection of water-tubes in boilers for fluid flowControlling combustion using gas detectors Safety arrangements obtained by means of controlling combustion Alarm systems ","F22B37/00|F23N5/003|F23N5/24|G08B","","","",""
"F23M9/10","Baffles or deflectors formed as tubes, e.g. in water-tube boilers","","Interconnection of such tubes in boilers for fluid flow","F22","","","",""
"F23M11/00","Safety arrangements","","Safety arrangement structurally associated with burnersSafety arrangements for liquid fuel feeding Safety arrangement involving control of combustionSafety arrangements structurally associated with igniters","F23D|F23K5/16|F23N5/24|F23Q","","","",""
"F23M11/04","Means for supervising combustion, e.g. windows","","Alarm systems in general","G08B","","","",""
