"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G10B","ORGANS, HARMONIUMS OR SIMILAR WIND MUSICAL INSTRUMENTS WITH ASSOCIATED BLOWING APPARATUS  (accordions, concertinas or the like or keyboards therefor G10D11/00; automatic wind instruments G10F1/12)","G10D11/00|G10F1/12","Musical toys per seKeyboards or keys for pianos, harpsichords, spinets or similar stringed musical instruments with one or more keyboardWind musical instruments, e.g. flutes, ocarinas, oboes, clarinets, bagpipes, saxophones, trumpets; general design, details and accessories therefor, Mouth organsAids for music; Supports for musical instruments; Other separate auxiliary devices or accessoriesDetails of electrophonic musical instruments; Instruments in which the tones are generated by electromechanical means; Instruments in which tones are generated by electronic generators (electronic organs), or in which the tones are synthesised from a data store (computer organs)","A63H|G10C3/12|G10D7/00|G10D9/00|G10D7/12|G10G|G10H","","","OrganIn this subclass, the term 'organ' refers to a musical instrument played from at least one keyboard, and possibly a pedal board, which produces sound by the movement of air in pipes, the air or 'wind' being supplied by blowing apparatus which may comprise a source of wind and a reservoir, for example an electric blower and bellows.","This place covers: General design of organs, harmoniums, or similar wind musical instruments with associated blowing apparatus. Details or accessories thereof."
"G10B3/02","Blowers","","Compressors, blowers, per se","F04","","","",""
"G10B3/12","Keys or keyboards; Manuals","","Keyboards for musical instruments in general","G10C3/12","","","",""
