"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G03C","PHOTOSENSITIVE MATERIALS FOR PHOTOGRAPHIC PURPOSES  (for photomechanical purposes G03F); PHOTOGRAPHIC PROCESSES, e.g. CINE, X-RAY, COLOUR, STEREO-PHOTOGRAPHIC PROCESSES; AUXILIARY PROCESSES IN PHOTOGRAPHY  (photographic processes characterised by the use or manipulation of apparatus classifiable per se in subclass G03B, see G03B; photomechanical production of textured or patterned surfaces G03F; electrophotography, magnetography G03G)","G03F|G03B|G03B|G03F|G03G","","","","","",""
"G03C1/00","Photosensitive materials  (photosensitive materials for multicolour processes G03C7/00; for diffusion transfer processes G03C8/00; photosensitive glass C03C4/04)","G03C7/00|G03C8/00|C03C4/04","Coating processes or apparatus, Dyes as suchPhotochromic substances as such","B05C|B05D|C09B|C09K9/00","The invention per se is classified in the last appropriate place. If necessary, several classifications can be given.","","T-grainsTabular grainsDP emulsionsDirect positive emulsions","This place covers: Photographic materials in general including additives, compositions, and structural details of the layered products, and their manufacture. When the material is specifically intended for multi-colour use, it is classified in  . Photosensitive compositions based on metal salts, diazonium compounds and photochromic compounds."
"G03C3/00","Packages of films for inserting into cameras, e.g. roll-films, film-packs; Wrapping materials for light-sensitive plates, films or papers, e.g. materials characterised by the use of special dyes, printing inks, adhesives  (wrapping materials in general B65D)","B65D","Packaging materials as such","B65D","","","","This place covers: Packages and wrapping materials for photographic films and other photosensitive materials."
"G03C5/00","Photographic processes or agents therefor; Regeneration of such processing agents  (multicolour processes or agents therefor G03C7/00; diffusion-transfer processes or agents therefor G03C8/00; stereo-photographic processes G03C9/00; photomechanical processes G03F)","G03C7/00|G03C8/00|G03C9/00|G03F","","","","","","This place covers: Photographic processes in general applied to the materials of   up to the production of the final processed print image including picture taking, processing of the exposed photosensitive materials and printing. Ancilliary processes, e.g. sensitometry, regeneration and replenishment of processing agents, and image treatment, e.g. toning, and packaging of processing agents."
"G03C7/00","Multicolour photographic processes or agents therefor; Regeneration of such processing agents; Photosensitive materials for multicolour processes  (diffusion transfer processes G03C8/00)","G03C8/00","Metal chelates","C07C229/76","Combinations of couplers and additives need to be mentioned in an independent claimCombinations of couplers of different kinds Combinations of couplers of the same kind , , Combinations of couplers and DIR Combination of additives ","G03C7/3225|G03C7/342|G03C7/365|G03C7/3805|G03C7/3225|G03C7/39296","DIRDiffusion inhibitor releasingBARBleaching accelerator releasing","This place covers: Photographic materials intended for multi-colour use. Treatment processes for said materials."
"G03C8/00","Diffusion transfer processes or agents therefor; Photosensitive materials for such processes","","Photothermoraphy","G03C1/498","","","","This place covers: Photosensitive materials intended for diffusion-transfer use. Processing such materials."
"G03C9/00","Stereo-photographic or similar processes","","Stereoscopic photography","G03B35/00","","","","This place covers: Stereophotographic processes: producing three-dimensional images."
"G03C11/00","Auxiliary processes in photography  (characterised by the apparatus used G03D15/00)","G03D15/00","Obtaining noble metalsObtaining metals otherwiseElectrolytic recovery of metalsDrying in generalApparatus for drying of photographic materials","C22B11/04|C22B61/00|C25C1/00|F26B3/00|G03D15/02","Digital marking is classified in .","G03C11/02","","This place covers: Drying during photographic processing. Processes applied after the production of the final printed product. Recovery of materials from coated photographic products. Cleaning of photographic processing and manufacturing apparatus."
