"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A45F4/08","into hammocks, litters or sleeping-bags","","","","","","","This place covers: Sacks or packs convertible, e.g. by unfolding, into hammocks, litters or sleeping-bags Illustrative example of subject matter classified in       "
"A45F4/10","into boats or sledges","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F4/12","into coats or capes","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F4/14","Coats or capes convertible into tent coverings","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F5/00","Holders or carriers for hand articles; Holders or carriers for use while travelling or camping","","Sacks or packs carried on the body  Storage means for work tools  Supports for positioning apparatus or articles  Wearable computers, e.g. on a belt  Cords, straps or harnesses for musical instruments  Arrangements for carrying or protecting transceivers  Supports for telephones adapted for use on head, throat or breast  ","A45F3/00|B25H3/00|F16M13/00|G06F1/163|G10G5/005|H04B1/3888|H04M1/05","","","","This place covers: Illustrative example of subject matter classified in           "
"A45F5/004","{with an automatic spring reel}","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F5/02","Fastening articles to the garment","","Attaching writing implements to wearing apparel or objects involving constructional changes of the implements  Means for wearing or carrying small arms  ","B43K25/00|F41C33/00","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F5/021","{to the belt}","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F5/022","{within pockets}","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F5/04","Holding handkerchiefs, napkins, or the like","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F5/06","Holding hats or other garments","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F5/08","Holding flowers","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F5/10","Handles for carrying purposes","","Handles for suitcases or travelling bags Handles of sacks or bags Straps provided with handles for bundling or supporting articles For carrying heavy loads ","A45C13/26|B65D33/06|B65D63/18|B65G7/12","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F5/102","{with means, e.g. a hook, receiving a carrying element of the hand article to be carried}","","With flexible receiving elements  Receiving flexible handles of the hand article to be carried  ","A45F2005/1013|A45F5/1026","","","","This place covers: Illustrative example of subject matter classified in    Carrying handles with rigid receiving means, e.g. a hook, for receiving a carrying element, e.g. a rigid handle, of the hand article to be carried.    "
"A45F5/1026","{the carrying element being flexible, e.g. plastic bag handle}","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F5/1046","{and supported above the grip surface of the carrying handle}","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F5/12","Book-carriers","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F5/14","Holders for spades, hatchets, or like implements","","","","","","","This place covers: Illustrative example of subject matter classified in       "
