"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G21D","NUCLEAR POWER PLANT","","Electric or magnetic analogue computers, e.g. simulators, for nuclear physicsNuclear fusion reactorsAspects related to nuclear fission reactors per seStructural combination of fuel element Control of nuclear reactionEmergency protection arrangements structurally associated with a reactor; for rapid reduction of reactivity under fault conditions; for suppressing fires , , Pumping arrangements for the coolant by means within the reactor pressure vesselObtaining electrical energy from radioactive sourcesNuclear explosives and their applications Thermoelectric elements per se, Electrodynamic pumps","G06G7/54|G21B|G21C|G21C3/40|G21C7/00|G21C9/00|G21C9/02|G21C9/04|G21C15/24|G21H1/00|G21J|H01L35/00|H01L37/00|H02K44/02","","","Engineplant, such as turbineEngine demandload","This place covers: Aspects of power plants which include, as a power generator, a nuclear fission reactor. Also power plants which convert the heat produced by the fission reaction into forms of energy other than electricity (e.g. mechanical energy)."
"G21D1/00","Details of nuclear power plant  (control G21D3/00)","G21D3/00","Pumps for liquids per seDismantling spent nuclear fuel","F04|G21C19/34","","","","This place covers: Details of the nuclear power plant, other than details of the nuclear reactor per se."
"G21D1/006","{primary side of steam generators  (secondary side of steam generators F22B1/00, F22B35/00 or F22B37/00)}","F22B1/00|F22B35/00|F22B37/00","Secondary side of steam generators, , ","F22B1/00|F22B35/00|F22B37/00","","","","This place covers: Steam generator replacements."
"G21D3/00","Control of nuclear power plant  (control of nuclear reaction in general G21C7/00)","G21C7/00","Electrical digital data processingAnalog computers","G06F|G06G","","","","This place covers: Aspects of the control of nuclear power plants, other than the control of the nuclear fission reaction per se."
"G21D3/001","{Computer implemented control}","","","","","","","This place covers: Computer implemented systems and methods related to nuclear reactor applications, such as design, licensing procedures, fuel shuffling, core loading patterns, data processing, etc."
"G21D5/00","Arrangements of reactor and engine in which reactor-produced heat is converted into mechanical energy","","Arrangements or adaptations of propulsion systems of cosmonautic vehiclesPlants characterised by the use of steam or heat accumulators using nuclear heat;Gas-turbine plants characterised by the use of hot gases or unheated pressurised gases using nuclear energy","B64G1/408|F01K3/181|F02C1/05","","","","This place covers: Nuclear propulsion, e.g. for applications in ships, submarines and space crafts."
"G21D7/00","Arrangements for direct production of electric energy from fusion or fission reactions  (obtaining electric energy from radioactive sources G21H1/00)","G21H1/00","","","","","",""
"G21D9/00","Arrangements to provide heat for purposes other than conversion into power, e.g. for heating buildings","","Methods and apparatus for obtaining oil, gas, water, soluble or meltable materials or a slurry of minerals from wells by means of nuclear energy","E21B43/2403","","","",""
