"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D04H5/06","strengthened or consolidated by welding-together thermoplastic fibres, filaments, or yarns","","","","","","","This place covers: Non-woven fabrics formed of mixtures of relatively-short fibers and yarns or like filamentary material of substantial length and strengthened or consolidated by welding-together thermoplastic fibers, filaments, or yarns."
"D04H5/08","characterised by the method of forming fleeces or layers, e.g. reorientation of fibres or yarns","","","","","","","This place covers: Non-woven fabrics formed of mixtures of relatively-short fibers and yarns or like filamentary material of substantial length characterized by the method of forming fleeces or layers, e.g. reorientation of fibers or yarns (lap-forming devices  ; paper web-making by wet methods  ,  )."
"D04H5/10","otherwise than in a plane, e.g. in a tubular way","","","","","","","This place covers: Non-woven fabrics formed of mixtures of relatively-short fibers and yarns or like filamentary material of substantial length characterized by the method of forming fleeces or layers otherwise than in a plane, e.g. in a tubular way."
"D04H5/12","Glass fibres","","","","","","","This place covers: Non-woven fabrics formed of mixtures of relatively-short fibers and yarns or like filamentary material of substantial length using glass fibers."
"D04H11/00","Non-woven pile fabrics  (layered products forming non-woven pile fabrics B32B)","B32B","","","","","","This place covers: Non-woven pile fabrics - the pile is formed from upstanding fibers. (Layered products forming non-woven pile fabrics are classified in  ; woven pile fabrics  ; tufting  , e.g. ; made by knotting  ; by knitting  ,  )"
"D04H11/04","formed by zig-zag folding of a fleece or layer of staple fibres, filaments, or yarns, strengthened or consolidated at the folds","","","","","","","This place covers: Non-woven pile fabrics formed by zigzag folding of a fleece or layer of staple fibers, filaments, or yarns, strengthened or consolidated at the folds."
"D04H11/08","formed by creation of a pile on at least one surface of a non-woven fabric without addition of pile-forming material, e.g. by needling, by differential shrinking  (needling machines D04H18/00)","D04H18/00","","","","","","This place covers: Non-woven pile fabrics formed by the creation of a pile on at least one surface of a non-woven fabric without the addition of pile-forming material, e.g. by needling, by differential shrinking (needling machines  )"
"D04H13/00","Other non-woven fabrics","","","","","","","This place covers: Other non-woven fabrics not accounted for in the previous groups."
"D04H13/02","Production of non-woven fabrics by partial defibrillation of oriented thermoplastics films","","","","","","","This place covers: Other non-woven fabrics produced by partial defibrillation of oriented thermoplastics films."
"D04H18/00","Needling machines","","","","","","","This place covers: Needling machines e.g. needle punching machines."
"D04H18/02","with needles","","","","","","","This place covers: Needling machines with barbed needles."
"D04H18/04","with water jets","","","","","","","This place covers: Needling machines using water jets e.g. spunlace machines."
