"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F03H","PRODUCING A REACTIVE PROPULSIVE THRUST, NOT OTHERWISE PROVIDED FOR  (from combustion products F02K)","F02K","Spring, weight, inertia or like motors; mechanical-power-producing mechanisms, not otherwise provided for or using energy sources not otherwise provided forElectric generators or motors not provided for elsewhere; Alleged perpetua mobilia obtained by electric or magnetic means","F03G|H02N11/00","","","",""
"F03H1/00","Using plasma to produce a reactive propulsive thrust  (generating plasma H05H1/00 ){(ion sources per se H01J27/02, ion sources for plasma processing or ion beams H01J37/08)}","H05H1/00|H01J27/02|H01J37/08","Arcjets and other resistojets for fitting in or to cosmonautic vehiclesElectromagnetic launchers; Plasma-actuated launchers (railguns) ","B64G1/406|F41B6/00","Aspects related to the generation of ions (resp. plasma) should be classified in  (resp. ) and lower.For example, a microwave ion thruster with a peculiar acceleration grid should be classified in  and .","H01J27/02|H05H1/24|H01J27/16|F03H1/0043","","This place covers: Engines exhausting ions or a plasma (ions and electrons) to produce a reactive propulsive thrust. Details thereof."
"F03H3/00","Use of photons to produce a reactive propulsive thrust","","","","","","","This place covers: Engines exhausting photons to produce a reactive propulsive thrust ."
"F03H99/00","Subject matter not provided for in other groups of this subclass","","Unconventional spacecraft propulsion systemsSpring, weight, inertia or like motors; Mechanical-power producing mechanisms, not otherwise provided for or using energy sources not otherwise provided for","B64G1/409|F03G","","","","This place covers: Engines producing a reactive propulsive thrust without exhausting a fluid, a plasma or photons . Engines allegedly producing a reactive propulsive thrust without exhausting anything, in violation of the Newtonian law of action and reaction."
