"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B27N","MANUFACTURE BY DRY PROCESSES OF ARTICLES, WITH OR WITHOUT ORGANIC BINDING AGENTS, MADE FROM PARTICLES OR FIBRES CONSISTING OF WOOD OR OTHER LIGNOCELLULOSIC OR LIKE ORGANIC MATERIAL  (containing cementitious material B28B; shaping of substances in a plastic state B29C; fibreboards made from fibrous suspensions D21J; drying F26B17/00)","B28B|B29C|D21J|F26B17/00","","","","","",""
"B27N1/00","Pretreatment of moulding material","","Manufacture of wood shavings, chips, powder or the likeFibrous raw materials or their mechanical treatment ","B27L11/00|D21B1/00","Pretreatments are actions performed before the manufacturing of the Pretreatment of moulding material refers for instance to actions for reducing formaldehyd emissions, actions for incresasing resistance to swelling by humidity and actions to mix the material with a binder.","","",""
"B27N1/0263","{by spraying the agent on the falling material, e.g. with the material sliding along an inclined surface, using rotating elements or nozzles  (B27N1/0254 takes precedence)}","B27N1/0254","Spraying a fluid on falling particles","B01F25/721","","","",""
"B27N3/00","Manufacture of substantially flat articles, e.g. boards, from particles or fibres","","","","","","","This place covers: Manufacture of substantially flat articles, e.g. boards, from particles or fibres"
"B27N3/06","Making particle boards or fibreboards, with preformed covering layers, the particles or fibres being compressed with the layers to a board in one single pressing operation","","(Laminated) flooring","E04F15/00","","","",""
"B27N3/14","Distributing or orienting the particles or fibres","","Feeding fibres to machines","D01G23/00","","","",""
"B27N3/143","{Orienting the particles or fibres}","","Roller screensRoller screen using corrugated, grooved or ribbed rollers","B07B1/14|B07B1/15","","","",""
"B27N3/24","characterised by using continuously acting presses having endless belts or chains moved within the compression zone","","Veneer presses; Press plates; Plywood presses with endless arrangement of moving press plates, belts or the likeWherein the pressing means is in the form of an endless band co-oprating with an another endless band","B27D3/04|B30B5/06","","","",""
"B27N3/28","characterised by using extrusion presses","","Extrusion presses in general of plastics or substances in a plastic state","B29C48/00","","","",""
"B27N5/00","Manufacture of non-flat articles","","Solid fuels essentially based on vegetable substances, i.e. wood pellets","C10L5/44","","","",""
"B27N7/00","After-treatment, e.g. reducing swelling or shrinkage, surfacing; Protecting the edges of boards against access of humidity","","","","","","","This place covers: After-treatment, e.g. reducing swelling or shrinkage, surfacing; Protecting the edges of boards against access of humidity"
"B27N7/005","{Coating boards, e.g. with a finishing or decorating layer}","","","","","","",""
"B27N9/00","Arrangements for fireproofing  (fireproofing materials C09K21/00)","C09K21/00","","","","","","This place covers: Arrangements for fireproofing"
