"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B27H","BENDING WOOD OR SIMILAR MATERIAL; COOPERAGE; MAKING WHEELS FROM WOOD OR SIMILAR MATERIAL","","","","","","","This place covers: Bending, cooperage, wheel-making by working of wood"
"B27H1/00","Bending wood stock, e.g. boards","","Shaping plywood Presses specially designed for making shaped plywood articlesGlued laminated wood which is bentBending railingsUmbrella handles","B27D1/08|B27D1/083|B27M3/0053|B27M3/12|B27M3/38","","","","This place covers: Bending solid wood stock as well as bending plywood and bending glued laminated wood. Illustrative examples: Shaping plywood Glued laminated wood which is bent"
"B27H3/00","Manufacture of constructional elements of tubes, coops, or barrels  (assembly, e.g. coopering, B27H5/00)","B27H5/00","Assembly, e.g. coopering","B27H5/00","","","CooperTraditionally, a cooper is someone who makes woodenstaved vessels of a conical form, of greater length than breadth, bound together with hoops and possessing flat ends or heads. Examples of a cooper's work include but are not limited to casks, barrels, buckets, tubs, butter churns, hogsheads, firkins, tierces, rundlets, puncheons, pipes, tuns, butts, pins and breakers.Cooprefers to the iron band holding a set of staves together. ","This place covers: This subclass covers the manufacture of constructional elements of woodenstaved tubes, woodenstaved vessels of a conical form, of greater length than breadth, bound together with hoops and possessing flat ends or heads. Examples include but are not limited to casks, barrels, buckets, tubs, butter churns, hogsheads, firkins, tierces, rundlets, puncheons, pipes, tuns, butts, pins and breakers."
"B27H5/00","Manufacture of tubes, coops, or barrels  (from veneer strips or sheets B27D1/00)","B27D1/00","","","","","",""
"B27H7/00","Manufacture of wood-rimmed wheels, e.g. cart wheels, steering wheels {(B23B3/265, B23B5/38, B23B41/06 take precedence)}","B23B3/265|B23B5/38|B23B41/06","","",", ,  take precedence.","B23B3/265|B23B5/38|B23B41/06","","This place covers: Manufacture of wood-rimmed wheels, e.g. cart wheels, steering wheels"
