"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B65G67/26","using rakes or scrapers","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G67/28","External transverse blades attached to endless conveyors","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G67/30","using transportable tipping apparatus","","","","For - see Indexing Codes  - .","B65G67/30|B65G67/56|B65G2814/0356|B65G2814/0395","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G67/32","using fixed tipping installations","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G67/34","Apparatus for tipping wagons or mine cars  (inverting wagons B65G67/48)","B65G67/48","Platform-lifts with tiltable platforms","B66F7/22","","","",""
"B65G67/36","endwise","","","","","","","This place covers: Towards both ends (otherwise  ) Illustrative example of subject matter classified in this group:"
"B65G67/40","toward one end only","","Endwise","B65G67/36","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G67/42","sideways","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G67/44","by passing the vehicles over a stretch of transversely-inclined rails","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G67/46","Apparatus for lifting and tilting","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G67/48","Vehicle tipplers","","Devices for washing or cleaning railroad vehicles","B60S","","","",""
"B65G67/50","Rotary vehicle tipplers, i.e. rotating through 360 degrees","","Vehicle-locking meansVehicle and tippler interlocking controls","B65G67/54|B65G67/56","","","","This place covers: Rotation about one axis (ring-construction ostly) Illustrative example of subject matter classified in this group:"
"B65G67/52","having several decks","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G67/54","Vehicle-locking means","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G67/56","Vehicle and tippler interlocking controls","","","","Indexing Code: ","B65G2814/0362","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G67/603","{using devices specially adapted for articles}","","Transferring or trans-shipping at storage areas, railway yards, harbours; Marshalling yard installations","B65G63/00","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G67/606","{using devices specially adapted for bulk material}","","Bucket conveyors Endless scraping or elevating pick-up conveyors","B65G17/126|B65G65/06","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G67/62","using devices influenced by the tide or by the movements of the ship, e.g. devices on pontoons","","Horizontal loading or unloading platformsLoading ramps","B65G69/22|B65G69/28","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/00","Auxiliary measures taken, or devices used, in connection with loading or unloading  (by means incorporated in, or operatively associated with, conveyors B65G47/00; preventing fire A62C3/00; in vehicles, see the relevant subclasses, e.g., B60P1/58, B61D7/32, B62D33/00, B63B25/00, B64D9/00)","B65G47/00|A62C3/00|B60P1/58|B61D7/32|B62D33/00|B63B25/00|B64D9/00","Indexing Codes relating to loading or unloading articles or bulk materials - For spreading out the material over the whole surface to be loaded - The walls being deformable","B65G2814/00|B65G2814/0211|B65G2814/0241|B65G2814/0294|B65D88/62","","","",""
"B65G69/001","{Buffers for vehicles at loading stations}","","For racksSafety arrangements for slowing, redirecting or stopping errant vehicles; local protectionFenders; fenders integral with waterborne vessels or specially adapted therefor","B65G1/02|E01F15/14|E02B3/26","IPC: ","B65G69/34","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/003","{Restraining movement of a vehicle at a loading station using means not being part of the vehicle}","","","","IPC: ","B65G69/34","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/005","{the means engaging at least one wheel of the vehicle}","","Electric devices on electrically-propelled vehicles for safety purposes; Monitoring operating variablesSecuring of load by preventing lateral movement of the loadWheel chocks","B60L3/00|B60P7/0892|B60T3/00","IPC: ","B65G69/34","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/006","{Centring or aligning a vehicle at a loading station using means not being part of the vehicle}","","","","IPC: ","B65G69/34","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/008","{Dock- or bumper-seals}","","","","IPC: ","B65G69/34","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/02","Filling storage spaces as completely as possible, e.g. application of vibrators","","","","","","","This place covers: Only when the material is already in the container Mainly: densifying/vibrators Illustrative example of subject matter classified in this group:"
"B65G69/04","Spreading out the materials conveyed over the whole surface to be loaded; Trimming heaps of loose materials","","Having means for controlling material flowFor a homogeneous pileDistributing or orienting the particles or fibres ","B65G47/19|B65G69/10|B27N3/14","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/0408","{by relatively moving an endless feeding means  (B65G69/0458 takes precedence)}","B65G69/0458","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/0416","{with scraping belts or chains}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/0425","{with vibrating or shaking means}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/0433","{with screw conveyors}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/0441","{with chutes, deflector means or channels  (B65G69/0458 takes precedence)}","B65G69/0458","Deflector at the end of pneumatic feeding device","B65G69/0491","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/045","{with scraping devices  (B65G69/0416 takes precedence)}","B65G69/0416","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/0458","{with rotating means, e.g. tables, arms}","","With chutes, deflector means or channelsWith throwing devices","B65G69/0441|B65G69/0466","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/0466","{with throwing devices}","","","","","","","This place covers: One feeding entry giving an impulse to the material (otherwise  ) Illustrative example of subject matter classified in this group:"
"B65G69/0475","{with air jets}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/0483","{with electric or magnetic means}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/0491","{with a pneumatic feeding conveyor}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/08","Devices for emptying storage spaces as completely as possible  (devices preventing the formation of bridges in large containers B65D88/64)","B65D88/64","Loading or unloadingCleaning hollow articles by methods or apparatus specially adapted theretoLarge containers ","B65G65/00|B08B9/00|B65D88/00","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/10","Obtaining an average product from stored bulk material","","Construction or shape of discharge sectionFor measuring or testing","B65D88/28|G01","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/12","Sieving bulk materials during loading or unloading","","Separating solid materials using liquids or using pneumatic tables or jigs","B03B","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/14","Pulverising loaded or unloaded materials","","CrushingPreventing bridgesFor coal mines","B02C|B65D88/64|E21F13/002","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/16","Preventing pulverisation, deformation, breakage, or other mechanical damage to the goods or materials","","Chutes with discontinuous guiding surfaces for bulk","B65G11/088","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/165","{using descending or lowering endless conveyors}","","Packaging fruits/vegetables in crates","B65B25/046","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/18","Preventing escape of dust","","Preventing pulverisation of material","B65G69/16","","","",""
"B65G69/181","{by means of sealed systems}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/182","{with aspiration means}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/183","{with co-operating closure members on each of the parts of a separable transfer channel}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/185","{by means of non-sealed systems}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/186","{with aspiration means}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/187","{with non-return closures}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/188","{with spraying means}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/20","Auxiliary treatments, e.g. aerating, heating, humidifying, deaerating, cooling, de-watering or drying, during loading or unloading; Loading or unloading in a fluid medium other than air","","Loading containersSpraying meansFluidising devices","B65G69/02|B65G69/188|B65D88/72","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/22","Horizontal loading or unloading platforms  (as road or railway equipment B61B1/00, E01F1/00)","B61B1/00|E01F1/00","Piles TablesScaffolds adjustable in height","B65H|E04G1/20","","","","This place covers:"
"B65G69/24","having platform level adjusting means","","Handling freight in airports, Lifting platforms","B64D9/00|B64F1/32|B66F7/00","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/26","Rotatable platforms","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G69/28","Loading ramps; Loading docks  (as road or railway equipment B61B1/00, E01F1/00)","B61B1/00|E01F1/00","Access to ambulanceLoading ramp attached to vehicle truckAccess to vehicles for impaired peopleAccess to aircraftsRamps helping a vehicle to access a lifting frameAccess to shipsAccess to buildings for disabled people","A61G3/061|B60P1/43|B60R3/00|B64F1/305|B66F7/243|E01D15/24|E04F11/02","","","",""
"B65G69/2805","{permanently installed on the dock}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
