"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G10C","PIANOS, HARPSICHORDS, SPINETS OR SIMILAR STRINGED MUSICAL INSTRUMENTS WITH ONE OR MORE KEYBOARDS  (automatic musical instruments G10F)","G10F","Musical toys per seNon-musical aspects of musical toy pianosStringed musical instruments, e.g. violins, harps, mandolins, guitars, banjos or zithers; Their general design, details or accessories, Other separate auxiliary devices or accessories for music or musical instrumentsElectrophonic musical instruments; Instruments in which the tones are generated by electromechanical means or electronic generators, or in which the tones are synthesised from a data store","A63H|A63H5/00|G10D1/00|G10D3/00|G10G7/00|G10H","","","","This place covers: General design of pianos, harpsichords, spinets or similar stringed musical instruments with one or more keyboards. Details and accessories thereof. Combinations of said musical instruments with other musical instruments, e.g. with bells or xylophones. Methods or tools specially adapted for the manufacture or maintenance thereof."
"G10C1/06","of harpsichords spinets or similar stringed musical instruments","","Keyboard-operated zithers","G10D3/09","","","",""
"G10C3/02","Cases","","","","","","","This place covers: Fall boards; Dust Covers; Lids, Legs."
"G10C3/10","Tuning pins; Tensioning devices","","","","","","","This place covers: Pin Blocks."
"G10C3/165","for plucking the strings","","Keyboard-operated zithers","G10D3/09","","","",""
"G10C3/26","Pedals or pedal mechanisms  (G10C3/14 takes precedence); Manually operated sound modification means","G10C3/14","","","","","","This place covers: All pedals."
"G10C5/00","Combinations with other musical instruments, e.g. with bells or xylophones","","","","","","","This place covers: Combinations with electronic musical instruments."
"G10C5/10","Switching musical instruments to a keyboard, e.g. switching a piano mechanism or an electrophonic instrument to a keyboard; Switching musical instruments to a silent mode","","","","","","","This place covers: Switching the piano into a silent mode."
"G10C9/00","Methods, tools or materials specially adapted for the manufacture or maintenance of musical instruments covered by this subclass","","","","","","","This place covers: Also materials."
