"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F25C5/043","{Tools, e.g. ice picks, ice crushers, ice shavers}","","Ice-crusher machinesIce-shaving machinesAccessories for ice-fishing (ice drilling)Brushes with a scraperOther food tongsGuards or sheaths for hand cutting toolsLife-saving equipment adapted to use on iceWorking on surfaces of snow or ice in order to make them suitable for traffic or sporting purposesSnow removing devicesDrilling ice or a formation covered by ice","F25C5/046|F25C5/12|A01K97/01|A46B15/0081|A47G21/10|B26B29/00|B63C9/32|E01H4/00|E04D13/106|E21B7/008","","","ToolsHand tools","This place covers: Hand tools for disintegrating, removing or harvesting ice cubes and blocks without the use of saws, by using other hand tools, e.g. ice picks, ice crushers, ice shavers. Illustrative example of subject matter classified in this group."
"F25C5/046","{Ice-crusher machines}","","Ice crusher as hand tool for crushing ice cubes","F25C5/043","","","","This place covers: Automatic ice-crushers and grinders. Illustrative example of subject matter classified in this group. Grinder 145, crusher 140"
"F25C5/06","by deforming bodies with which the ice is in contact, e.g. using inflatable members","","","","","","","This place covers: Apparatus for disintegrating, removing or harvesting ice by deforming bodies with which the ice is in contact, by deforming the mould, e.g. by twisting the mould or using inflatable members. Illustrative example of subject matter classified in this group."
"F25C5/12","Ice-shaving machines","","Production of ice by using augersIce shaver as a hand tool to shave iceProduction of slush ice","F25C1/147|F25C5/043|A23G9/045","","","","This place covers: Automatic ice-shaving machines producing flake ice and chip ice. Illustrative example of subject matter classified in this group."
"F25C5/14","Apparatus for shaping or finishing ice pieces, e.g. ice presses","","","","","","","This place covers: Moulding ice. Scoring ice. Illustrative example of subject matter classified in this group."
"F25C5/18","Storing ice","","Cooling bags for medical or therapeutic treatment of the human body, e.g. ice-bagsContainers, packaging elements or packages specially adapted for ice-creamDevices using ice, e.g. ice-boxes","A61F7/10|B65D85/78|F25D3/02","","","",""
"F25C5/185","with freezing trays","","Construction of moulds for refrigerators, e.g. freezing trays","F25C1/24","","","",""
"F25C5/187","with ice level sensing means","","Indicating or measuring liquid level, or level of fluent solid materialLevel control, e.g. controlling quantity of material stored in vessel","G01F23/00|G05D9/00","","","",""
"F25C5/22","{particularly adapted for household refrigerators}","","","","When emphasis is put on water dispenser classify in  and .","F25D23/126|F25C2400/10","",""
"F25C5/24","{for storing bins  (ice bins F25C5/182)}","F25C5/182","","","","","",""
