"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D21B","FIBROUS RAW MATERIALS OR THEIR MECHANICAL TREATMENT","","Disintegration in mills; Milling devices in generalFlotation in generalDry sorting of wasteDisposal of solid wasteManufacture of articles made from particles or fibres consisting of wood or like organic material by dry processes Obtaining silk fibres or filamentsWorking-up waste paper (chemical part)Flotation of white water, recovering fibres from suspensions","B02C|B03D|B07B|B09B|B27N|D01B7/00|D21C5/02|D21F1/70","Subgroups and main groupIf a document concerns embodiments which are covered by several subgroups dependent on a higher hierarchy group, the following rules apply:the specific technical information relevant for some of the subgroups is classified in all said subgroups;if relevant, the structural association (e.g. the combination) of the elements covered by the subgroups is classified in the head group;analogously, if generic technical information common to all of the subgroups is disclosed and only schematic embodiments of the specific subgroup embodiments are represented, the documents is classified in the head group only.","","","This place covers: Preparation of fibrous raw materials (like wood, rags, waste paper, pulp bales) and their mechanical treatment to obtain mechanical pulp, particular for papermaking purposes and production of fibre board, cutting raw materials into small particles, pretreatment of raw materials before pulp preparation, pulp preparation by mechanical defibration (for example by grinding), pulpers and mixers for pulps, de-inking devices."
"D21B1/02","Pretreatment of the raw materials by chemical or physical means  (removal of bark B27L)","B27L","","","","","","This place covers: Pretreatment of the raw materials by chemical or physical means, for example steaming or heating of wood chips."
"D21B1/021","{by chemical means}","","Chemical aspects of pulp preparation","D21C","","","","This place covers: Impregnation of wood chips with chemical or biological (enzymatic) substances."
"D21B1/30","Defibrating by other means","","","","","","","This place covers: Defibrating by means not explicitly defined before, for example between cooperating rotating screw members in drums."
"D21B1/306","{using microwaves}","","","","","","","This place covers: Defibrating by the use of microwaves, for example by ultrasound treatments."
