"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D21G","CALENDERS; ACCESSORIES FOR PAPER-MAKING MACHINES  (winders or rewinders for finished products, means for adjustment of wrinkles or lateral extensions B65H)","B65H","Rolls for rolling metalRegistering, tensioning, smoothing or guiding websMethods and devices for coating paper webs in generalRolls in general","B21B27/00|B65H23/00|D21H|F16C13/00","Subgroups and head groups.If a document concerns embodiments which are covered by several subgroups dependent on a higher hierarchy group, the following rules apply:the specific technical information relevant for some of the subgroups is classified in all said subgroups;if relevant, the structural association (e.g. the combination) of the elements covered by the subgroups is classified in the head group;analogously, if generic technical information common to all of the subgroups is disclosed and only schematic embodiments of the specific subgroup embodiments are represented, the documents is classified in the head group only.","","Sectionportion of a paper production machine effecting a certain process step, for example forming, pressing, drying, calendering, coating, ...;Doctordevice or cleaning the surface of a band, cylinder or roll or for metering a coating substance on the surface of a web","This place covers: Calenders, smoothing apparatus. Rolls for calenders, controlled deflection rolls, doctors, safety devices for paper machinery, damping devices, paper making control systems, devices for threading web tails through a paper machine. Coating devices in combination with calenders or other sections in a paper machine."
"D21G3/00","Doctors","","Application blades in general Doctors for crêpingDoctors for printing machinesDoctors for coaters, ","B05C11/04|B31F1/14|B41F9/10|D21H23/34|D21H25/10","","","","This place covers: Doctor devices for paper machines in general."
"D21G7/00","Damping devices","","","","","","","This place covers: Damping devices for paper machines, i.e. devices for applying moisture in form of water or steam."
"D21G9/00","Other accessories for paper-making machines","","","","","","","This place covers: Devices that can be used e.g. for controlling or measuring parameters, not essential for the technical functioning of the machine; Control systems and methods; Coating devices in combination with paper machine sections;"
"D21G9/0009","{Paper-making control systems}","","Sensor rollsFault detection Measuring paper sheets","G01L5/00|G01N21/89|G01N33/34","","","",""
"D21G9/009","{Apparatus for glaze-coating paper webs}","","Apparatus for coating paper webs in general","D21H23/00","","","","This place covers: Coating processes using two rolls rotating at different speed. Complete papermaking machines (i.e. at least two sections in combination) comprising a coating section in combination with other paper machine sections, e.g. calendering or drying section."
