"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"C12F","RECOVERY OF BY-PRODUCTS OF FERMENTED SOLUTIONS  (removal of yeast from wine or sparkling wine C12G1/08); DENATURED ALCOHOL; PREPARATION THEREOF","C12G1/08","Feeding-stuffs specially adapted for animal and their methods of productionPreparation, treatment or modification of the properties of foods or foodstuffs, , , Separation processes and apparatus in generalPreparation of other alcoholic beverages which are not wine or beer, Removal of alcohol from alcoholic beverages to obtain alcohol-free or low-alcohol beveragesPreparation of ethanol for non-beverage purposes","A23K10/38|A23L7/104|A23L7/25|A23L11/70|A23L27/24|B01D|C12G3/02|C12G3/08|C12H3/00|C12P7/06","","","Denatured alcoholEthanol that has additives to make it inedible (poisonous) in order to prevent human consumption. Denatured alcohol permits legitimate use and manufacture of ethanol, since its manufacturing process creates an ethanol-containing solution that is not suitable for drinking, but it is similar to ethanol for most purposes.","This place covers: Recovery of by-products of fermented solutions; Preparation of denatured alcohol; Denatured alcohol, per se."
"C12F3/00","Recovery of by-products","","","","","","","This place covers: Recovery of by-products of only fermented solutions, e.g. from beer, wine, and distillery slops. The recovered (secondary) by-product may be obtained from a (primary) by-product of the preparation of a fermented solution."
"C12F3/02","of carbon dioxide","","Carbon dioxide","C01B32/50","","","","This place covers: Recovery of carbon dioxide as by-product of fermented solutions."
"C12F3/04","Recovery of volatile fermentation products from carbon dioxide","","","","","","","This place covers: Recovery of volatile fermentation products from carbon dioxide obtained as by-product of fermented solutions."
"C12F3/06","from beer and wine  (C12F3/02 takes precedence; removal of yeast C12G1/08)","C12F3/02|C12G1/08","","","","","","This place covers: Recovery of by-products of fermented solutions obtained in beer brewing or wine making."
"C12F3/08","Recovery of alcohol from press residues or other waste material  (from carbon dioxide C12F3/04)","C12F3/04","","","","","","This place covers: Recovery of alcohol from press residues or other waste material obtained in beer brewing or wine making."
"C12F3/10","from distillery slops","","Preparation of distilled alcoholic beverages","C12H6/02","","","","This place covers: Recovery of by-products from distillery slops, i.e. from the residue remaining after distillation of fermented solutions."
"C12F5/00","Preparation of denatured alcohol","","","","","","","This place covers: Denatured alcohol and preparation methods therefore."
