"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G06E","OPTICAL COMPUTING DEVICES; {COMPUTING DEVICES USING OTHER RADIATIONS WITH SIMILAR PROPERTIES} (optical logic elements per se G02F3/00; digital storage using optical elements G11C13/04)","G02F3/00|G11C13/04","","","This technology is hardly used anymore.Optical computers were a technology that was popular between 1900 - 2000.After 2000 there are virtually no patent applications in this field anymore.If other aspects, for example mechanical, fluid pressure or electrical computing, are of interest, classification is also made in the relevant subclass for such aspects.","","","This place covers: All devices in which at least one computing function is performed by optical means."
"G06E1/00","Devices for processing exclusively digital data","","Quantum computers","G06N10/00","Documents should be classified in the subgroups of  only if they deal with purely digital optical computing.","G06E1/00","","This place covers: Optical computers working exclusively on digital data."
"G06E3/00","Devices not provided for in group G06E1/00, e.g. for processing analogue or hybrid data","G06E1/00","Quantum computers","G06N10/00","Documents should be classified in the subgroups of  only if they deal with purely optical computing on a combination of digital and analogue data or on analogue data only.","G06E3/00","","This place covers: Optical computers operating not exclusively on digital data, but on analogue data or a combination of digital and analogue data (hybrid)."
