"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A44B","BUTTONS, PINS, BUCKLES, SLIDE FASTENERS, OR THE LIKE  (fastenings specially adapted for footwear A43C)","A43C","","","This subclass covers buckles, velcro or slide fasteners whether used as haberdashery (i.e. for clothing) or otherwise only if there's no other class for the specific application.Please note that there are also additional symbols in  other than the ones relating to Indexing Code mirror.For classification of additional funtions or features the non-Mirror Indexing Code symbols of  should be used.Decorative mock-fastening devices that do not function as fasteners (e.g. ornamental buttons on coats, fake zippers on clothing), but that look like the fasteners or one of their essential parts covered by , are classified within the main groups of this subclass that provide for the fasteners they are intended to resemble.","A44D|A44D|A44B","ButtonA hand manipulated fastener that includes a rigid or semirigid portion (i.e. button) which is attached (e.g. sewn) to the structure it is intended to fasten or secure (e.g. clothing) in a manner that allows its reorientation by either movement about its attachment or movement of the structure it secures. A button is intended to be used with a complementary opening having a flaccid portion (e.g. buttonholes, looped cords) that forms the second essential part of the fastener.BuckleA hand manipulated fastener including engaging or holding means and structure for guiding during fastening, which can selectively hold a cooperating strap or belt that is either the structure secured (e.g. end of a dress belt) or a second portion of the fastener (e.g. securing strap of a backpack flap).PinA hand manipulated fastener that includes both (1) a portion specifically shaped (e.g. pointed) to facilitate impaling of and penetration into the structure fastened or secured and (2) a remaining portion (e.g. head) intended to be manually pushed on that does not penetrate the structure fastened or secured.Slide fastenerA hand manipulated fastener that includes (1) two, opposed, elongated, configured surfaces that are each attached by mounting means to a secured structure and are intended to directly contact and interlock with each other when fastened and (2) a sliding device that is much shorter in length than the surfaces and which travels along their length to forcibly shift them into or out of interlocking engagement","This place covers: The following fasteners or their essential parts: Buttons; Pins; Buckles or strap fasteners that are actuated or operated directly by hand and intended to releasably connect either (1) the ends of a single web or strap, or (2) the ends of two or more webs or straps together (e.g. safety belt buckles); Slide fasteners; ""Other types"" of fasteners that are actuated or operated directly by hand and frequently utilized or associated with accoutrements, garments, or haberdashery (e.g. snap fasteners, collar-studs). Appropriate 'other types' of fasteners must also be readily reusable and their normal securing or releasing operation not destructive or damaging to either the fastener itself or the structure it secures. Making slide fasteners, touch-and-close fasteners (e.g. VELCRO®, hook-and-loop, barb-and-pile fabrics), and other fasteners of this subclass. Accessories or ancillary devices for the fasteners of this subclass when they are used exclusively with one of the varieties of fasteners (e.g. button cards) or have their operations either influencing or being influenced by the operation of the fastener (e.g. slide fastener pulling cords). The following additional devices associated with either the fasteners of this class or accoutrements, garments, and haberdashery: key rings; clamping or holding devices; and mock-fastening devices that merely look like the fasteners, or one of their essential parts, of this subclass but do not function as fasteners (e.g. ornamental buttons on coats, fake zippers on clothing). Note The only ""other types"" of fasteners appropriate for this subclass are those that are capable of use with or actually used with accoutrements, garments, or haberdashery. Therefore, it must be either a commonly known practice to use a particular type of fastener with accoutrements, garments, or haberdashery (e.g., snap fasteners) or the patent documents for a particular type of fastener must frequently disclose their use with accoutrements, garments, or haberdashery. However, it is not required that all, or even the majority, of the fasteners covered by a particular category of fastener be specially adapted for use, or disclose their intended use, with accoutrements, garments, or haberdashery."
"A44B1/00","Buttons  (setting on garments A41H37/10; setting on footwear A43D100/08; making buttons: see the relevant groups in the classes for making articles from particular materials)","A41H37/10|A43D100/08","","","In American English ""Button"" is used for ""Badge"", correct class for Badges is .For removable buttons that look like badges but are used as a fastener, class in  and in .Contains buttons with perfume.Contains buttons with further safety means avoiding debuttoning.","A44C3/001|A44B1/18|A44C3/001","ButtonA knob or stud of metal or other material sewn or fixed by a shank or neck to articles of dress, usually for the purpose of fastening one part of the dress to another by passing through a button-hole, but often merely for ornament.BadgeAny distinctive device, emblem, or mark worn to indicate a person's affiliation, rank, office, name, etc., or membership of an organization or support for a cause; also a small piece of metal, card, plastic, etc., bearing a distinguishing design or words and often worn purely for ornament.","This place covers: Illustrative example of subject matter classified in this group."
"A44B1/02","characterised by their material","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"A44B1/04","Ornamental buttons","","","","In American English ""Button"" is used for ""Badge"", correct class for Badges is .For removable buttons that look like badges but are used as a fastener, class in  and in .","A44C3/001|A44B1/18|A44C3/001","","This place covers: Illustrative example of subject matter classified in this group."
"A44B1/06","Assembling of buttons  (covering by braiding D04D)","D04D","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"A44B1/08","Constructional characteristics","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"A44B1/10","washable","","","","Classification is done here only if the document specifically mentions constructional characteristics in the context of promoting the washing or laundry ability.","","",""
"A44B1/12","covered by fabric","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"A44B1/123","{with a removable fabric covering}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"A44B1/126","{Manufacture not otherwise provided for}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"A44B1/14","with replaceable {or protective} coverings {(removable fabric coverings A44B1/123; sleeve-links concealing a sewed-on button A44B5/007)}","A44B1/123|A44B5/007","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"A44B1/18","adapted for special ways of fastening","","","","In American English ""Button"" is used for ""Badge"", correct class for Badges is .For removable buttons that look like badges but are used as a fastener, class in  and in .If they fasten through a safety pin, it should also be classed in .","A44C3/001|A44B1/18|A44C3/001|A44B9/16","","This place covers: Removable buttons that look like badges but are used as a fastener. Illustrative example of subject matter classified in this group."
"A44B1/185","{with quick, thread-like, anchoring means avoiding the use of a separate needle and thread}","","","","","","Thread-likeFiliform, used as an alternative to textile threads.","This place covers: Illustrative example of subject matter classified in this group."
"A44B1/20","attached by thread visible to the front {(A44B1/185 takes precedence)}","A44B1/185","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"A44B1/22","attached by thread not visible to the front {(A44B1/185 takes precedence)}","A44B1/185","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"A44B1/24","Eye-buttons","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"A44B1/26","with resilient shank","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"A44B1/28","with shank and counterpiece","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
