"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D06F75/18","the water being fed slowly, e.g. drop by drop, from the reservoir to a steam generator","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F75/20","Arrangements for discharging the steam to the article being ironed","","","","","","","This place covers: Steam outlets arrangements."
"D06F75/22","with means for supplying liquid to the article being ironed  (D06F75/10 takes precedence)","D06F75/10","","","","","","This place covers: Hand irons comprising water sprays."
"D06F75/24","Arrangements of the heating means within the iron; Arrangements for distributing, conducting or storing the heat","","Electric heating in general Thermostats for home appliances","H05B|H05B1/0255","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F75/243","{using other than ohmic-resistance heating means, e.g. electrolytic or induction heating}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F75/246","{using infra-red lamps}","","","","","","","This place covers: Any heating means using lamps or light sources for generating heat radiation, for instance:  Heating means comprising infra-red lamps; Heating means comprising sources of visible light; Heating means comprising sources of ultraviolet light."
"D06F75/26","Temperature control or indicating arrangements","","Thermally actuated switches","H01H","","","","This place covers: Temperature control or indicating arrangements for hand irons, including details for controlling or representing general displays, buttons, position detectors and thermostats of a hand iron. Illustrative example of subject matter classified in this group:"
"D06F75/265","{Temperature indicating arrangements; Control knobs}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F75/28","Arrangements for attaching, protecting or supporting the electric supply cable","","","","","","","This place covers: Cable supports that are part of the hand iron."
"D06F75/30","Hand irons of special external shape or form","","","","","","","This place covers: Hand irons having a special shape or use."
"D06F75/32","Attachments for converting hand irons to steam irons","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"D06F75/34","Handles; Handle mountings","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F75/36","Casings","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F75/38","Sole plates  (D06F75/20 takes precedence)","D06F75/20","","","","","","This place covers: Construction details of fixed or removable soleplates (how the soleplate is built e.g. layers, materials etc.). Illustrative example of subject matter classified in this group:"
"D06F75/40","Stands or supports attached to the iron","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F77/00","Arrangements for exerting pressure on, lifting, or guiding hand irons","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F77/005","{using an electro-magnet or a permanent magnet in the iron or the ironing board}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F79/00","Accessories for hand irons","","","","","","","This place covers: For instance: water containers for filling the iron. Illustrative example of subject matter classified in this group."
"D06F79/02","Stands or supports neither attached to, nor forming part of, the iron or ironing board","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F79/023","{with means for supplying current to the iron}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F79/026","{for cordless irons}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F79/04","Stoves or other heating means specially adapted for heating irons externally","","Stoves in general ","F24","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F79/06","Means, not forming part of the iron, for cooling the iron","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F81/00","Ironing boards   (coverings or pads therefor D06F83/00; kitchen cabinets with ironing boards movable outwards to a position of use A47B77/10)","D06F83/00|A47B77/10","Tables in generalIroning boards stored in kitchen cabinetsIroning boards combined with ladders ","A47B|A47B77/10|E06C","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F81/003","{with flat iron support}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F81/006","{with fabric support or garment rack}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F81/02","with collapsible underframe","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F81/04","with means for adjusting height","","Tables with means for varying the height of the top","A47B9/16","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F81/06","attachable to independent supports, e.g. walls","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F81/08","incorporating heating, steaming, or forced ventilation means","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
