"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B02B","PREPARING GRAIN FOR MILLING; REFINING GRANULAR FRUIT TO COMMERCIAL PRODUCTS BY WORKING THE SURFACE  (making dough from cereals directly A21C; preservation or sterilisation of cereals A23B; cleaning fruit A23N; preparation of malt C12C)","A21C|A23B|A23N|C12C","Preservation of edible seeds, e.g. cerealsAnimal feeding-stuffsFoods or foodstuffs; Their preparation or treatmentMachines for hulling, husking or cracking nutsPeeling vegetables or fruit Machines for cleaning, blanching, drying or roasting fruits or vegetables, e.g. coffee, cocoa, nuts Separating solids from solids by screening, sieving, sifting, sorting in general, Preparation of starch Production of fats or fatty oils from raw materialsPreparation of oxygen-containing organic compounds Ethanol, i.e. non-beverageDrying apparatus in general","A23B9/00|A23K10/00|A23L5/00|A23N5/00|A23N7/00|A23N12/00|B07B|B07C|C08B30/00|C11B1/00|C12P7/06|F26B","Japanese documents are very important and the Japanese documentation and classification has to be considered for search, especially for rice.The Japanese FI-classes related to preparing grain for milling are  - &109. The corresponding F-term theme code is 4D043 that is useful for searching for adjustment and processing of grain.","B02B1/00|B02B7/02","","This place covers: Dry and wet processes for preparing and conditioning grain for milling; apparatus for hulling, husking decorticating, polishing and degerminating grains. Combinations of such processes and apparatus and auxiliary devices therefore."
"B02B1/00","Preparing grain for milling or like processes  (hulling, husking, decorticating, polishing, removing the awns, or degerming B02B3/00)","B02B3/00","","","Specific apparatus suitable for sifting, sorting, drying of grain which are not explicitly in a cooperating relationship with other grain preparing equipment.","","","This place covers: Processes for the pre-treatment of grain prior to milling."
"B02B3/00","Hulling; Husking; Decorticating  (decorticating textile fibres D01B1/14); Polishing; Removing the awns  (in threshing machines A01F12/42); Degerming","D01B1/14|A01F12/42","","","","","","This place covers: All kind of apparatus for hulling, husking, polishing etc. of grains having discs, rollers, screws or worms, beaters, brushes or combinations thereof or having fluid means."
"B02B5/00","Grain treatment not otherwise provided for","","Other milling methods or mills specially adapted for grain; Systems or sequences of operations; Plant","B02C9/04","","","","This place covers: Systems or sequences of operations, combined processes and apparatus for the preparation of grain for milling. Combinations with milling methods or milling devices."
"B02B7/00","Auxiliary devices","","","","","","","This place covers: Feeding and discharging devices associated with hulling, husking, polishing etc. machines. Sifting and sorting devices associated with hulling, husking, polishing etc. machines."
