"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B30B","PRESSES IN GENERAL  (producing ultra-high pressure or ultra-high pressure and high temperature to effect modifications of a substance, e.g. for making artificial diamonds B01J3/00 ){(compressing means for refuse receptacles B65F1/1405)}","B01J3/00|B65F1/1405","","","","","","This place covers: Presses in general and also those presses, for particular purposes, which are not provided for elsewhere."
"B30B1/00","Presses, using a press ram, characterised by the features of the drive therefor, pressure being transmitted directly, or through simple thrust or tension members only, to the press ram or platen","","Shaping by press-cutting; Perforating - Drive of the toolsHammers; Forging machines with hammers or die jaws acting by impact; Drives for hammersForging presses; Drives for forging pressesShearing machines or shearing devices cutting by blades which move parallel to themselves characterised by drives or gearings thereforArrangements for operating and controlling machines or devices for cutting, cutting-out, stamping-out, punching, perforating, or severing by means other than cutting - Means for actuating the cutting member to effect the cut","B21D28/002|B21J7/20|B21J9/10|B23D15/12|B26D5/08","Rule 1Plural driving units of the same kind applying force in parallel to the ram or platen are classified together with the single driving unit per se. Exceptions to rule 1 are clearly indicated.Rule 2Plural driving units applying force in series to the ram or platen are classified according to the driving unit in direct contact or in contact through simple thrust or tension members only, to the press ram or platen. Exceptions to rule 2 are clearly indicated.","","","This place covers: Presses using a press ram characterised by the features of the drive therefor in general and also those presses using a press ram characterised by the features of the drive therefor, for particular purposes, which are not provided for elsewhere. The driving system is decomposed, if necessary, in simple fluid actuation units (e.g. a cylinder/piston) and simple mechanical force multipliers (e.g. a lever, a toggle, a screw/nut system)."
"B30B1/001","{by explosive charges}","","Shaping without cutting otherwise than using rigid devices or tools or yieldable or resilient pads by applying fluid pressure by shock waves generated by explosivesShearing machines or shearing devices cutting by blades which move parallel to themselves characterised by drives or gearings therefor actuated by fluid or gas pressure - actuated by explosionExplosive weldingGearing","B21D26/08|B23D15/145|B23K20/08|F16H","","","","This place covers: Presses for which the fluid pressure is generated by explosive charges in a cylinder/piston unit or in a chamber. Illustrative example of subject matter classified in this group: DE-A-2122605"
"B30B1/002","{by internal combustion mechanism}","","Drives for hammers operated by internal combustion","B21J7/26","","","","This place covers: Presses for which the fluid pressure is generated by internal combustion mechanism in a cylinder/piston unit. Illustrative example of subject matter classified in this group: FR-A-2046587"
"B30B1/003","{by an elastic bag or diaphragm expanded by fluid pressure}","","","","","","","This place covers: Presses for which the fluid is injected in a bag or in a chamber presenting a diaphragm. Illustrative example of subject matter classified in this group: WO-A-9114569"
"B30B1/005","{by thermal expansion or evaporation}","","","","","","","This place covers: Illustrative example of subject matter classified in this group: US-A-4260582"
"B30B1/006","{by a scissor or lazy-tongs mechanism}","","","","","","","This place covers: Presses for which one part of the scissor or lazy-tongs mechanism is in direct contact or in contact through simple thrust or tension members only, to the press ram or platen. Illustrative example of subject matter classified in this group: DE-A-4013107"
"B30B1/007","{using a fluid connection between the drive means and the press ram}","","","","","","","This place covers: Presses for which the driving unit is classified per se. Illustrative example of subject matter classified in this group: US-A-6539853"
"B30B1/008","{by a rod swinging between a fixed plane and the ram}","","","","","","","This place covers: Presses for which one end of the rod follows a path on a fixed plane and the other end of the rod is in direct contact or in contact through simple thrust or tension members only, to the press ram or platen. Illustrative example of subject matter classified in this group: GB-A-1489575"
"B30B1/02","by lever mechanism  (by toggle mechanism B30B1/10)","B30B1/10","Gearings comprising primarily only links or levers, with or without slides","F16H21/00","","","","This place covers: Presses for which one part of the lever is in direct contact or in contact through simple thrust or tension members only, to the press ram or platen. Illustrative example of subject matter classified in this group: WO-A-9015268"
"B30B1/04","operated by hand or foot","","","","","","","This place covers: Presses for which another part of the lever is in direct or indirect contact with the hand or the foot of an operator applying a force. Illustrative example of subject matter classified in this group: US-A-5329846"
"B30B1/06","operated by cams, eccentrics, or cranks","","","","","","","This place covers: Presses for which another part of the lever is in direct or indirect contact with a cam, eccentric, or crank unit applying a force. Illustrative example of subject matter classified in this group: DE-A-10241107"
"B30B1/08","operated by fluid-pressure means","","","","","","","This place covers: Presses for which another part of the lever is in direct or indirect contact with a fluid-pressure unit applying a force. Illustrative example of subject matter classified in this group: US-A-4329865"
"B30B1/10","by toggle mechanism","","Arrangements for operating and controlling machines or devices for cutting, cutting-out, stampin g-out, punching, perforating, or severing by means other than cutting. Means for actuating the cutting member to effect the cut Toggle-link means","B26D5/18","","","","This place covers: Presses for which one part of the toggle is in direct contact or in contact through simple thrust or tension members only, to the press ram or platen. The driving force is applied transversally to the line that can be drawn between the two ends of the two bars system constituting the toggle. Illustrative example of subject matter classified in this group: US-A-4302412"
"B30B1/103","{operated by screw means}","","","","","","","This place covers: Presses for which another part of the toggle is in direct or indirect contact with a screw/nut unit applying a force. Illustrative example of subject matter classified in this group: US-A-5184548"
"B30B1/106","{operated by another toggle mechanism}","","","","","","","This place covers: Presses for which another part of the toggle is in direct or indirect contact with another toggle unit applying a force. The driving unit of the second toggle is classified, if necessary, per se in the groups  ,   or   -  . Illustrative example of subject matter classified in this group: US-A-4448119"
"B30B1/12","operated by hand or foot","","","","","","","This place covers: Presses for which another part of the toggle is in direct or indirect contact with the hand or the foot of an operator applying a force. Illustrative example of subject matter classified in this group: US-A-4068576"
"B30B1/14","operated by cams, eccentrics, or cranks","","","","","","","This place covers: Presses for which another part of the toggle is in direct or indirect contact with a cam, eccentric, or crank unit applying a force. Illustrative example of subject matter classified in this group: US-A-4485708"
"B30B1/16","operated by fluid-pressure means","","","","","","","This place covers: Presses for which another part of the toggle is in direct or indirect contact with a fluid-pressure unit applying a force. Illustrative example of subject matter classified in this group: EP-A-537646"
"B30B1/18","by screw means {(B30B9/3064 takes precedence)}","B30B9/3064","Gearings comprising primarily only cams, cam-followers and screw-and-nut mechanisms","F16H25/00","","","","This place covers: Presses for which one part of the screw/nut unit is in direct contact or in contact through simple thrust or tension members only, to the press ram or platen. Illustrative example of subject matter classified in this group: WO-A-2009073240"
"B30B1/181","{the screw being directly driven by an electric motor}","","","","","","","This place covers: Presses for which the rotor part of the electric motor is fixed directly to a part of the screw/nut unit. Illustrative example of subject matter classified in this group: US-A-3626222"
"B30B1/183","{Braking mechanisms for the return movement of the press ram}","","","","","","","This place covers: Illustrative example of subject matter classified in this group: US-A-3886859"
"B30B1/185","{driven through friction roller means}","","","","","","","This place covers: Illustrative example of subject matter classified in this group: DE-A-2915540"
"B30B1/186","{Control arrangements}","","","","","","","This place covers: Illustrative example of subject matter classified in this group: US-A-2008201011"
"B30B1/188","{driven by a continuously rotatable flywheel with a coupling arranged between the flywheel and the screw}","","","","","","","This place covers: Illustrative example of subject matter classified in this group: US-A-4627266"
"B30B1/20","driven by hand","","","","","","","This place covers: Presses for which another part of the screw/nut unit is in direct or indirect contact with the hand or the foot of an operator applying a force. Illustrative example of subject matter classified in this group: US-A-1782076"
"B30B1/22","driven through friction disc means","","","","","","","This place covers: Illustrative example of subject matter classified in this group: US-A-4062284"
"B30B1/23","operated by fluid-pressure means","","","","","","","This place covers: Presses for which another part of the screw/nut unit is in direct or indirect contact with a fluid-pressure unit applying a force. Illustrative example of subject matter classified in this group: DE-A-2842552"
"B30B1/24","by rack-and-pinion means {(B30B9/3067 takes precedence)}","B30B9/3067","Arrangements for operating and controlling machines or devices for cutting, cutting-out, stamping-out, punching, perforating, or severing by means other than cutting. Means for actuating the cutting member to effect the cut rack-and-pinion meansGearings comprising essentially only toothed gears or friction members and not capable of conveying indefinitely-continuing rotary motion for interconverting rotary motion and reciprocating motion comprising a rack","B26D5/083|F16H19/04","","","","This place covers: Presses for which one part of the rack-and-pinion unit is in direct contact or in contact through simple thrust or tension members only, to the press ram or platen. Illustrative example of subject matter classified in this group: EP-A-416260"
"B30B1/26","by cams, eccentrics, or cranks","","Arrangements for operating and controlling machines or devices for cutting, cutting-out, stamping-out, punching, perforating, or severing by means other than cutting. Means for actuating the cutting member to effect the cut Crank and pin meansCrankshafts, eccentric-shafts; Cranks, eccentricGearings comprising primarily only links or levers, with or without slides - Crank gearings; Eccentric gearings","B26D5/14|F16C3/04|F16H21/18","","","","This place covers: Presses for which one part of the cam, eccentric, or crank unit is in direct contact or in contact through simple thrust or tension members only, to the press ram or platen. Illustrative example of subject matter classified in this group: DE-A-4437957"
"B30B1/261","{by cams}","","Arrangements for operating and controlling machines or devices for cutting, cutting-out, stamping-out, punching, perforating, or severing by means other than cutting. Means for actuating the cutting member to effect the cut Cam means","B26D5/16","","","","This place covers: Presses for which the driving unit is a cam system. Illustrative example of subject matter classified in this group: US-A-5544576"
"B30B1/263","{work stroke adjustment means}",""," Shafts Crankshafts, eccentric-shafts; Cranks; Eccentrics Adjustable cranks or eccentrics ","F16C3/28","","","","This place covers: Illustrative example of subject matter classified in this group: DE-A-3507328"
"B30B1/265","{using a fluid connecting unit between drive shaft and press ram}","","","","","","","This place covers: Presses for which the fluid connecting associated with another type of driving unit are classified in  . Illustrative example of subject matter classified in this group: DE-A-3507327"
"B30B1/266","{Drive systems for the cam, eccentric or crank axis}","","","","","","","This place covers: Illustrative example of subject matter classified in this group: US-A-4461206"
"B30B1/268","{using a toggle connection between driveshaft and press ram}","","","","","","","This place covers: Presses for which the driving force follows the line that can be drawn between the two ends of the two bars system constituting the toggle. Illustrative example of subject matter classified in this group: US-A-2633094"
"B30B1/28","the cam, crank, or eccentric being disposed below the lower platen or table and operating to pull down the upper platen or slide","","","","","","","This place covers: Illustrative example of subject matter classified in this group: WO-A-2006136045"
"B30B1/30","by the pull of chains or ropes {(B30B9/3071 takes precedence)}","B30B9/3071","","","","","","This place covers: Presses for which one part of a chain or a rope is in direct contact or in contact through simple thrust or tension members or pulleys only, to the press ram or platen. Illustrative example of subject matter classified in this group: DE-U-8706683"
"B30B1/32","by plungers under fluid pressure","","Drives for forging presses operated by hydraulic or liquid pressureShearing machines or shearing devices cutting by blades which move parallel to themselves characterised by drives or gearings therefor actuated by fluid or gas pressureArrangements for operating and controlling machines or devices for cutting, cutting-out, stamping-out, punching, perforating, or severing by means other than cutting. Means for actuating the cutting member to effect the cut. Fluid-pressure meansSystems acting by means of fluids in general; fluid-pressure actuators, e.g. servo-motors; details of fluid-pressure systems, not otherwise provided for","B21J9/12|B23D15/14|B26D5/12|F15B","","","","This place covers: Presses for which the fluid actuation is generated by a means connected to the cylinder/plunger unit. Illustrative example of subject matter classified in this group: DE-A-4409029"
"B30B1/323","{using low pressure long stroke opening and closing means, and high pressure short stroke cylinder means}","","","","","","","This place covers: Illustrative example of subject matter classified in this group: DE-U-202006016685"
"B30B1/326","{operated by hand or foot, e.g. using hydraulic jacks}","","","","","","","This place covers: Presses for which an operator applies the driving force on the pump with the hand or the foot. Illustrative example of subject matter classified in this group: D-A-E102008006105"
"B30B1/34","involving a plurality of plungers acting on the platen  (gas operated B30B1/38)","B30B1/38","","","Exception to rule 1 indicated in .","B30B1/00","","This place covers: Illustrative example of subject matter classified in this group: US-A-4873923"
