"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A43C","FASTENINGS OR ATTACHMENTS OF FOOTWEAR; LACES IN GENERAL","","","","","","","This place covers: Equipment of the shoe e.g. laces, eyelets, cleats, studs."
"A43C1/00","Shoe lacing fastenings  (garment fastening devices A41F)","A41F","Combined fastening  Garment fastening device  ","A43C11/008|A41F","","","","This place covers: Every fastening system including at least one lace and concerning the lace, e.g. a special way of lacing, a specific position of the lace on the shoe, several laces used, etc."
"A43C3/00","Hooks for laces  (making from sheet metal B21D53/46); Guards for hooks","B21D53/46","Making of Hooks from metal sheet  ","B21D53/46","","","","This place covers: Hooks for lacing, along the upper, generally the lace joining together the hooks in the lateral part with the hooks situated on the medial part of the upper."
"A43C5/00","Eyelets  (machines for setting eyelets A43D100/00)","A43D100/00","Machine for setting eyelets  ","A43D100/00","","","","This place covers: Holes in the upper generally to help the lace to bring together the lateral part with the medial part of the upper"
"A43C7/00","Holding-devices for laces","","","","","","","This place covers: Systems to hold lace(s) in tighten position."
"A43C9/00","Laces; Laces in general for garments made of textiles, leather, or plastics","","","","","","","This place covers: The lace itself."
"A43C11/00","Other fastenings specially adapted for shoes  (dress fastenings in general A44B)","A44B","Dress fastenings in general  ","A44B","","","","This place covers: Any fastening that is not a lace. Still some of the documents can have a lace, in case they relate to footwear provided with more than one fastening system."
"A43C11/008","{Combined fastenings, e.g. to accelerate undoing or fastening}","","","","If one of the two fastenings is a lace, classification should be given in  and sub-groups.","A43C1/00","","This place covers: Combination of two different fastenings e.g. a lace for precision lacing of a boot, and a zipper, for quick release of the boot."
"A43C11/24","Ornamental buckles or other ornaments for shoes, with fastening function  (buckles in general A44B11/00)","A44B11/00","Buckles in general  ","A44B11/00","","","",""
"A43C13/00","Wear-resisting attachments","","","","","","","This place covers: Additional device(s) attached on the shoe to protect against wear."
"A43C15/00","Non-skid devices or attachments  (apparatus for climbing poles, trees, or the like A63B27/00)","A63B27/00","Sport footwear  Football/soccer footwear  Soles made anti skid, either by impregnation, either by antiskid devices monolithic to the sole, or multilayer soles, with a part of it in contact with the ground, but excluding the cleats, and studs , ,  Apparatus for climbing poles, trees, or the like  Snowshoes  ","A43B5/00|A43B5/02|A43B13/22|A43B13/24|A43B13/26|A63B27/00|A63C13/00","","","","This place covers: Additional device(s) attached to a footwear to improve friction."
"A43C19/00","Attachments for footwear, not provided for in other groups of this subclass","","","","","","","This place covers: Any attachment to a footwear not covered by the other groups, e.g. a plate with the name of the user, a tool to clean a golf club with the foot, an electronic device, any attachment not integrated in the footwear."
