"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"E04H15/00","Tents or canopies, in general","","Small buildings erected in open airHolders for posts or poles to be driven into the groundUmbrellas and umbrella details, Travelling or camp articles, Amusement arrangementsSunshades, awnings, screens in general LightingHeating or ventilating ","E04H1/1205|E04H12/2215|A45B23/00|A45B25/00|A45F3/00|A45F4/00|A63G31/00|E04F10/00|F21|F24","Use  -  to classify different constructional aspects of the inflatable tents;Use  to classify the frame members connected by elastic cords and  to classify the frames erected solely by guy lines","E04H2015/201|E04H2015/205|E04H2015/326|E04H2015/328","","This place covers: Hunting, fishing huts or the like; Bathing or beach cabins; Tents used as toys; Tents or tent-like constructions composed partially of rigid panels; Tents combined or specially associated with other devices, like e.g. of suspended type, partially supported by vehicles; Heating, lighting aspects for tents. Ventilating of tents and of tent roofs; Tents having plural sectional covers, e.g. pavilions, vaulted tents, marquees, circus tents, plural tents, e.g. modular; Inflatable tents; Cone shaped tents Centre-pole supported tents, e.g. umbrella type tents; Convertible tents, e.g. from one type to another type tent, from tent to canopy, from tent cover into diverse articles Parts, components, construction details, accessories, interior equipment, specially adapted for tents, e.g. guy-line equipment, skirts, thresholds Supporting means for tents, e.g. frames; Covers, floors, closures, awnings sunshades; Poles; Pegs, stakes or the like; Tent or canopy cover fastenings, e.g. the fixing members being a beading, the fixing members being locked by an additional locking member or the longitudinal recesses being made from two clamping members"
"E04H15/34","Supporting means, e.g. frames","","Small garages in the form of an overhead canopy and small garages of the hinged, foldable or otherwise movable type , ","E04H6/025|E04H6/04","","","","This place covers: Tent frames of arch-shaped type, expansible, e.g. extensible in a fan type manner, flexible and foldable; External type frames, i.e. outside cover, also with flexible supporting means; Collapsible, e.g. breakdown type, having connecting nodes, telescoping and foldable, foldable, i.e. having pivoted or hinged means, of lazy-tong type or characterised by connecting arches with lazy-tongues, of parallelogram type"
"E04H17/00","Fencing, e.g. fences, enclosures, corrals  (features peculiar to electrified fences A01K3/00, H05C; means for allowing passage through fences, barriers, or the like E06B11/00)","A01K3/00|H05C|E06B11/00","Struts for mastsSockets for posts entering the groundProps, stays for agricultureDevices for preventing or obstructing access or passage of birdsWire nettingsDevices for fastening or securing general constructional elements or machine parts togetherTurnbuckles","E04H12/20|E04H12/22|A01G17/14|A01M29/32|B21F27/00|F16B|F16G11/12","","","","This place covers: Anti-climbing devices, e.g. fixed or rotary spikes; Wire fencing; Fences constructed of rigid elements; Fences using prefabricated panel-like elements; Posts for fences and anchoring means therefore; Devices for erecting and removing fences"
"E04H17/003","{Anti-climbing devices, e.g. fixed spikes}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"E04H17/004","{Unstable, e.g. rotatory or resiliently mounted fence panels, spikes}","","","","","","","This place covers: Illustrative example of subject matter classified in this group. "
"E04H17/017","{Fencing provided with electric elements or components, e.g. fencing member or component, such as fence strands, post, panel or rail, provided with electric elements or components}","","","","","","","This place covers: Electrified wire fencing for any use or application."
"E04H17/02","Wire fencing, e.g. made of wire mesh  (E04H17/14 takes precedence; working or processing of wire B21F, e.g. making wire nets B21F27/00)","E04H17/14|B21F|B21F27/00","Making wire fencing","B21F27/00","References  and  are non-limiting in the subgroup . CPC will be updated/corrected once this inconsistency is resolved in IPC.","B21F|B21F27/00|E04H17/02","","This place covers: Wire mesh fencing."
"E04H17/04","characterised by the use of specially adapted wire, e.g. barbed wire {, wire mesh, toothed strip or the like; Coupling means therefor}","","","","","","","This place covers: Wire fencing including barbed wire, wire mesh, toothed strips, or the like for any use or application."
"E04H17/131","{the wire being tensioned by one or more springs}","","","","","","","This place covers: Illustrative example of subject matter classified in this group. "
"E04H17/135","{winder fixed to post via a bracket}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"E04H17/139","{winder internal to post}","","","","","","","This place covers: Illustrative example of subject matter classified in this group.   "
"E04H17/14","Fences constructed of rigid elements, e.g. with additional wire fillings or with posts","","Safety devices for poolSockets for posts entering the groundArrangements for absorbing or reflecting air-transmitted noise from road or railway traffic Arrangements for obstructing or restricting traffic Removable non-load-bearing partitions Handrails, balustersDevices for fastening or securing general constructional elements or machine parts together","E04H4/06|E04H12/22|E01F8/00|E01F13/00|E04B2/74|E04F11/00|F16B","See  to classify the caps for posts,  to classify the fences with pivotable slats for reduced wind resistance or for adjusting visibility,  -  to classify the different details of the connections between rails and posts.","E04H17/006|E04H17/1445|E04H17/1447|E04H17/1488","","This place covers: Fences made of building blocks or of woven slats; Post and rail fences with or without vertical cross-members and connections between rail and post for such fences; Picket fences with pickets attached to the side or going through the horizontal members connections between the horizontal members and post for such fences; Fences using prefabricated panel-like elements, e.g. panels or wired panels with or without frame, with cross members, fitted in grooves of posts; Corrals; Posts for frames and anchoring means therefore; Connections for attaching additional wire to frames, posts or railings"
"E04H17/145","{being welded, bonded or deformed in-situ}","","","","","","","This place covers: Illustrative example of subject matter classified in this group. "
"E04H17/1465","{the rails being supported within blind or through holes of the posts}","","","","","","","This place covers: Illustrative example of subject matter classified in this group. "
"E04H17/1478","{the posts extending through apertures or cut-outs in the rails}","","","","","","","This place covers: Illustrative example of subject matter classified in this group. "
"E04H17/164","{occultation devices therefor, e.g. slats, fence liners or panels blocking view therethrough}","","","","","","","This place covers: Illustrative example of subject matter classified in this group. "
"E04H17/26","Devices for erecting or removing fences {(hand-operated hammers having the impact head in form of a sleeve slidable on a shaft B25D1/16)}","B25D1/16","Devices for lifting or lowering bulky or heavy goods Pile drivingRemoving sheets piles bulkheads, piles, mould-pipes or other moulds","B66F|E02D7/00|E02D9/00","","","","This place covers: Devices for post and wire handling, e.g. for erecting, for removing posts or for stretching or winding wire or wire mesh; Hand tools for winding fences, e.g. tying or splicing tools"
