"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G09B21/00","Teaching, or communicating with, the blind, deaf or mute  (audible presentation of material to be studied G09B5/04; devices or methods for replacing direct visual or auditory perception by another kind of perception A61F9/08, A61F11/04; audible indication of meter readings or of colour G01D7/12; watches for blind persons G04B25/02; methods or arrangements for reading or recognising printed or written characters G06K9/00; speech analysis, speech recognition G10L; sound-recording or reproducing, per se G11B)","G09B5/04|A61F9/08|A61F11/04|G01D7/12|G04B25/02|G06K9/00|G10L|G11B","Devices or methods enabling eye-patients to replace direct visual perception by another kind of perceptionDevices or methods enabling ear patients to replace direct auditory perception by another kind of perceptionAudible indication of meter readings, e.g. for the blindby feeling; Clocks or watches for blind personsInput means with feedback to humand bodyMethods or arrangements for reading or recognising printed or written characters or for recognising patterns, e.g. fingerprints SPEECH ANALYSIS OR SYNTHESIS; SPEECH RECOGNITION; SPEECH OR VOICE PROCESSING; SPEECH OR AUDIO CODING OR DECODING INFORMATION STORAGE BASED ON RELATIVE MOVEMENT BETWEEN RECORD CARRIER AND TRANSDUCER","A61F9/08|A61F11/04|G01D7/12|G04B25/02|G06F3/00|G06K9/00|G10L|G11B","","","",""
"G09B21/001","{Teaching or communicating with blind persons  (G09B21/02 - G09B21/06 take precedence)}","G09B21/02|G09B21/06","Walking canes for the blindSonars - locating systems for the blind","A61H3/06|G01S15/00","","","",""
"G09B21/003","{using tactile presentation of the information, e.g. Braille displays}","","Tactile clocks or watches for use by the blindTactile signalling systems","G04B25/02|G08B6/00","","","",""
"G09B21/006","{using audible presentation of the information}","","Audible indications of meter or colour readings","G01D7/12","","","",""
"G09B21/009","{Teaching or communicating with deaf persons  (G09B21/04 takes precedence; deaf and dumb persons G09B21/00)}","G09B21/04|G09B21/00","","","","","",""
"G09B23/00","Models for scientific, medical, or mathematical purposes, e.g. full-sized devices for demonstration purposes  (in the nature of toys A63H)","A63H","MERRY-GO-ROUNDS; SWINGS; ROCKING-HORSES; CHUTES; SWITCHBACKS; SIMILAR DEVICES FOR PUBLIC AMUSEMENT ","A63G","","","",""
"G09B23/186","{for digital electronics; for computers, e.g. microprocessors}","","","","","","",""
"G09B23/28","for medicine","","Healthcare informatics ","G16H","","","Phantomhuman model used in medical simulations",""
"G09B23/283","{for dentistry or oral hygiene  (G09B23/286 takes precedence)}","G09B23/286","","","","","",""
"G09B23/285","{for injections, endoscopy, bronchoscopy, sigmoidscopy, insertion of contraceptive devices or enemas}","","","","","","",""
"G09B23/288","{for artificial respiration or heart massage}","","","","","","CPRcardiopulmonary ressuscitation",""
"G09B23/30","Anatomical models {(G09B23/281 - G09B23/288 take precedence)}","G09B23/281|G09B23/288","Talking dolls ","A63H3/28","","","",""
"G09B25/00","Models for purposes not provided for in G09B23/00, e.g. full-sized devices for demonstration purposes  (model vehicles, tracks therefor, models in the nature of toys A63H)","G09B23/00|A63H","Toys, e.g. TOPS, DOLLS, HOOPS, BUILDING BLOCKS","A63H","","","",""
"G09B25/02","of industrial processes; of machinery","","","","","","",""
"G09B25/04","of buildings","","","","","","",""
"G09B29/00","Maps; Plans; Charts; Diagrams, e.g. route diagram  (star maps G09B27/04; devices for holding or supporting maps A47B97/02; for computing purposes G06G1/14, G09B1/16; display boards G09F)","G09B27/04|A47B97/02|G06G1/14|G09B1/16|G09F","Devices for holding or supporting maps, drawings, or the like, including means for preventing rolling-upin which a straight or curved line has to be drawn from given points on one or more input scales to one or more points on a result scale","A47B97/02|G06G1/14","","","",""
"G09B29/001","{Planning boards}","","Map printing process","B41M3/02","","","",""
"G09B29/10","Map spot or coordinate position indicators; Map reading aids  (optical projection apparatus per se G03B)","G03B","Navigation; Navigational instruments not provided for in preceding groups","G01C21/00","","","Map spot indicatorsdevice or system which highlights the position(s) of points of interest",""
