"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A41D","OUTERWEAR; PROTECTIVE GARMENTS; ACCESSORIES","","Button down shirt or formal dress shirtChemise, e.g. slips with shoulder straps worn beneath a dressChemise, e.g. slips that only cover the lower bodyOveralls, e.g. coveralls or bodysuits (for babies)Bodices, e.g. baby onesiesStraps, bandsCarrying straps around neckCarrying straps around waistCarrying strapsCarriers for hand articlesFastening articles to the garmentCarriers for holding garmentsGarment bagsDetecting heart/pulse rate for diagnostic purposes, worn by patientOrthopaedic slings, straps for holding armsElectromedical stimulation with electrodesMagnetotherapyRadiation therapyPackaging for clothingSupports for musical instruments, straps","A41B1/00|A41B9/06|A41B9/10|A41B13/005|A41B13/08|A45C13/30|A45F2003/002|A45F3/005|A45F3/14|A45F5/00|A45F5/02|A45F5/06|A47G25/54|A61B5/02438|A61F5/3746|A61N1/36014|A61N2/00|A61N5/00|B65D85/18|G10G5/005","","","Dressing-gowna loose gown worn while making one's toilet or when in dishabille.Jacketlightweight long-sleeve garment typically having a collar and lapel extending below the front sides of the collar providing a central opening between the lapels, also referred to as a dress jacket or sport coatWaistcoatupper body garment without sleeves also referred to as a vest in American EnglishVestT-shirt or casual top with or without sleevesJerseyknitted garment with or without sleeves, also referred to as a sweater in American EnglishSweatergarment typically worn for playing team sports, also referred to as a jersey in American EnglishBlouseshirt having features specific to women, also referred to as a women's topOverallsa one-piece garment having an upper body portion (e.g. short or long sleeve top, bib secured by shoulder straps, etc.) and lower body portion (e.g. pants, shorts, etc.), also referred to as coveralls or bodysuitsLeggingslower body overgarment with or without seats for protecting a garment worn underneath, also referred to as chapsShirtan upper body garment having a collar and an opening at the front which is fastened closed via fastening elements (e.g. buttons) disposed adjacent the opening, also referred to as a men's dress shirt, button-up shirt or button-down shirtChemiseundergarment with shoulder strap worn beneath dress or the like, also referred to as a slipBodicesbaby garment usually with sleeves but leaving the legs uncovered and fastening means at the crotch, also referred to as a onesie","This place covers: Outerwear covers athletic garments, jackets, trousers, shorts, skirts, maternity clothing, overgarments (overcoats, capes), dressing-gowns, bathing costumes, and pyjamas. In particular, the following subjects are classified as follows: Jackets, e.g. dress jackets or sport coats, are classified in  Waistcoats, vests, jerseys, sweaters and T-shirts are classified in  For blouse, e.g. women's top, classify in  For overalls, e.g. coveralls or bodysuits for adult, classify in  For leggings, e.g. chaps, classify in "
"A41D1/00","Garments  (for children A41D11/00)","A41D11/00","Masks or dominoes for concealing identity, e.g. for theatrical useSacks for dead corpsesDisguises for artists for life-like imitation of creatures","A41G7/00|A61G17/06|A63J7/005","","","","This place covers: Also covers costumes and religious outfits. Illustrative examples of subject matter classified in this group"
"A41D1/002","{adapted to accommodate electronic equipment  (patients' garments for medical monitoring A41D13/1281; luminous ornaments A41D27/085)}","A41D13/1281|A41D27/085","Detecting heart/pulse rate for diagnostic purposes, worn by patientElectromedical stimulation with electrodesMagnetotherapyRadiation therapyWearable computersRemote control of information storage system (audio/video media)Conductors dispersed in non-conductive materialsSwitchesMechanisms of switchesSemiconductors in flexible layersConnections (switches)Portable transceivers carried on bodySound systems, , Multilayer printed circuitsPrinted circuits on textiles","A61B5/02438|A61N1/36014|A61N2/00|A61N5/00|G06F1/163|G11B19/025|H01B1/20|H01H1/00|H01H3/16|H01L23/5387|H01R4/58|H04B1/385|H04R1/10|H04R1/025|H04R5/023|H05K1/036|H05K1/038","When the subject is focused mainly on electronic equipment classify in this group as ""additional information"" only, and consider main classification in the relevant field.For pockets adapted to receive electronic equipment consider classification in .","A41D27/205","","This place covers: Illustrative example of subject matter classified in this group."
"A41D1/007","{made by a helically or spirally wound material}","","Seaming making a tubular fabric by helically winding it","D06H5/007","","","","This place covers: Illustrative example of subject matter classified in this group."
"A41D1/02","Jackets","","Overgarment jackets/coats, e.g. anoraks, parkas, short-length zip-up jackets, etc.Overcoats, e.g. trench coats, pea coats","A41D3/00|A41D3/02","For suit jackets classify in .For outer jackets classify in .","A41D1/02|A41D3/00","","This place covers: Lightweight long-sleeve garment typically having a collar and lapel extending below the front sides of the collar providing a central opening between the lapels. Suit jackets. Illustrative example of subject matter classified in this group."
"A41D1/04","Vests, jerseys, sweaters or the like","","BlousesOuterwear vestsButton down shirtsUndershirtsKnitting","A41D1/18|A41D3/00|A41B1/00|A41B9/06|D04B1/24","","","","This place covers: T-shirts, vests with or without sleeves, jerseys and sweaters. Illustrative examples of subject matter classified in this group."
"A41D1/06","Trousers","","","","For all types of shorts classify in . For trousers adjusting its length classify in  and as additional information in .For details of hems of trousers classify in  and as additional information in .For protectors of the underedges of trousers classify only in .For fastening the trouser cuff to the shoe classify in  and as additional information in .For leggings (leg outer coverings, over trousers) classify in .For waist details or expansible/adjustable waist classify also in  and lower groups.","A41D1/089|A41D15/002|A41D1/06|A41D27/24|A41D1/06|A41D27/145|A41F17/00|A41D1/06|A41D17/00|A41F9/00","","This place covers: Also covers details of trouser cuffs. Illustrative examples of subject matter classified in this group."
"A41D1/08","specially adapted for sporting purposes","","Bermuda swimming shortsUnderwear panti-hose","A41D7/005|A41B11/14","For underwear panti-hose classify in  and subgroups.For sportive tights classify in  and subgroups.For sportive garments with embedded elastic bands but no compression, classify in .For compression tights, elastic trousers with curative purposes consider classification in .","A41B11/14|A41D1/08|A41D31/18|A61F13/08","","This place covers: Illustrative example of subject matter classified in this group."
"A41D1/082","for skiing","","","","","","","This place covers: Illustrative examples of subject matter classified in this group."
"A41D1/084","for cycling","","Sports pants with crotch reinforcement (not for cycling, i.e. garment protection)Buttocks protection in sports trousers not for cycling and not at crotch area ","A41D1/088|A41D13/0537","Comprises padding for buttocks protection in cycling shorts.When reinforcements are used as interface between body and cycling saddle, e.g. for impact or pressure reduction, or for saddle shaped reinforcements, even if the word ""cycling"" is not used, class only in , and not in . For all other crotch area reinforcements in sports trousers, e.g. garment protection, classify only in .For buttocks protection in sports trousers not for cycling and not at crotch area, class in .","A41D1/084|A41D1/088|A41D1/088|A41D13/0537","","This place covers: Illustrative example of subject matter classified in this group."
