"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D21J","FIBREBOARD; MANUFACTURE OF ARTICLES FROM CELLULOSIC FIBROUS SUSPENSIONS OR FROM PAPIER-MACHE  (manufacture of articles by dry processes B27N)","B27N","Cellulosic materials in the methods for working plastic materials, , , Making other paper articles than boxes, cartons, envelopes, bags and tubesMaking layered products not composed wholly of paper or cardboard Building materials","B29K2001/00|B29B|B29C|B29D|B31D|B32B37/00|E04C","Subgroups and head groups.If a document concerns embodiments which are covered by several subgroups dependent on a higher hierarchy group, the following rules apply:the specific technical information relevant for some of the subgroups is classified in all said subgroups;if relevant, the structural association (e.g. the combination) of the elements covered by the subgroups is classified in the head group;analogously, if generic technical information common to all of the subgroups is disclosed and only schematic embodiments of the specific subgroup embodiments are represented, the documents is classified in the head group only.","","","This place covers: Manufacture of fibreboard and articles from cellulosic fibrous suspensions by wet methods, and fibreboard product obtained thereby."
"D21J1/00","Fibreboard  (preparation of pulp compositions or addition of chemical agents D21B, D21C, D21H; formation of the wet web D21F)","D21B|D21C|D21H|D21F","","","","","","This place covers: Processes and devices for the production of wet-formed board from raw materials comprising fibrous materials and optionally all kind of other filler material."
"D21J1/16","Special fibreboard","","","","","","","This place covers: Fibreboard specially adapted for a certain purpose."
"D21J1/20","Insulating board","","","","","","","This place covers: e.g. acoustic or thermal insulating board."
"D21J3/00","Manufacture of articles by pressing wet fibre pulp, or papier-mâché, between moulds","","","","","","","This place covers: Fibreboard manufacturing processes without the use of vacuum, i.e. only pressing the moulds together."
"D21J5/00","Manufacture of hollow articles by transferring sheets, produced from fibres suspensions or papier-mâché by suction on wire-net moulds, to couch-moulds","","","","","","","This place covers: Fibreboard manufacturing processes comprising sheet forming and subsequent moulding/pressing."
"D21J7/00","Manufacture of hollow articles from fibre suspensions or papier-mâché by deposition of fibres in or on a wire-net mould","","","","","","","This place covers: Fibreboard manufacturing processes comprising simultaneous forming and moulding."
