"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B09B","DISPOSAL OF SOLID WASTE","","Obtaining proteins from waste water of starch manufacturing plants of like wastes Animal feeding-stuffs from kitchen waste Animal feeding-stuffs from waste products of animal origin or of plant origin , Animal feeding-stuffs from distillers' or brewers' waste Footwear made of rubber wasteDisinfection or sterilisation methods specially adapted for refuseChemical means for combatting harmful chemical agents; processes for making harmful chemical agents harmlessChemical or biological purification of waste gases Disintegrating by knives or other cutting or tearing members, which chop material into fragmentsDisintegrating by knives or other cutting or tearing members, which chop material into fragments, specially adapted for disintegrating garbage, waste or sewageCombinations of wet processes or apparatus with other processes or apparatus, e.g. for dressing ores or garbageGeneral arrangement of separating plant, e.g. flow sheets, specially adapted for refuseControl of spray area of spraying plant, e.g. masking, side shields; Means for collection or re-use of excess material, Prevent escape of dirt or fumes from the area where they are produced; Collecting or removing dirt or fumes from that areaManufacture of articles from scrap or waste metal particlesMachines or arrangements for shearing stock while the latter is travelling otherwise than in the direction of the cut without regard to the exact dimensions of the resulting material, e.g. for cutting up scrapDevices for recovering materials resulting from grinding or polishingEdge trimming saw blades or tools combined with means to disintegrate wasteRecovery of plastics or other constituents of waste material containing plasticsPresses for consolidating scrap metal or for compacting used carsSystematic disassembly of vehicles for recovery of salvageable components, e.g. for recyclingRefuse discharge from vessels, e.g. for ashArrangements of installation for treating waste water or sewage on vesselsRefuse receptacles Vehicles particularly adapted for collecting refuse Gathering or removal of refuse otherwise than by receptacles or vehiclesCleaning or disinfecting devices combined with refuse receptacles or refuse vehiclesIngredients generally applicable to manufacture of glasses, glazes or vitreous enamelsHydraulic cements from oil shales, residues or waste other than slagCalcium sulfate cements from phosphogypsum or from waste, e.g. purification products of smokeWaste materials or refuse used as fillers for mortars, concrete, artificial stone or the likeWaste inorganic materials used as active ingredients for mortars, concrete, artificial stone or the likeWaste organic materials used as active ingredients for mortars, concrete, artificial stone or the likeFertilisers from waste or refuseFertilisers made from household or town refuseRegeneration of celluloseAgglomerating foam fragments, e.g. waste foamRecovery of waste materials of macromolecular substancesCompositions of reclaimed rubber Recovery of luminescent materialsDestructive distillation, specially adapted for particular solid raw materials or solid raw materials in special formOther processes not covered before; Features of destructive distillation processes in generalProduction of liquid hydrocarbon mixtures from rubber or rubber waste Solid fuels essentially based on sewage, house or town refuse Solid fuels essentially based on industrial residues and waste materials Working-up used lubricants based on mineral oils Recovery of fats, fatty oils, or fatty acids from waste materials Recovery of glycerol from a saponification liquor Recovery of by-productsRecovery of alcohol from press residues or other waste materialBiochemical production of ethanol from waste Working-up raw materials other than ores, e.g. scrap, to produce non-ferrous metals or compounds thereofObtaining zinc or zinc oxide from muffle furnace residuesObtaining zinc or zinc oxide from metallic residues or scrapObtaining tin from scrapRegeneration of process liquids used in electrophoretic coatingRegeneration of process solutions used in electrolytic coatingMechanical treatment of natural fibrous or filamentary material to obtain fibres or filaments, e.g. for spinningCarbonising rags to recover animal fibresRecovery of starting material, waste material or solvents during the manufacture of artificial filaments or the likeDisintegrating fibre-containing articles to obtain fibres for re-useArrangements for confining or removing dust, fly, or the likeRegeneration of used chemical baths used for dry-cleaning or washing fibres, fabrics or the likeDry treatment of waste paper or rags for making paper or for the production of celluloseDefibrating waste paper Processes for obtaining cellulose by working-up waste paper Regeneration of pulp liquors by wet combustion Re-use of pulp-water in wet end machines for making continuous webs of paperWaste products added to the pulp or used in paper-impregnating materialSewers, CesspoolsArrangements in building for the disposal of refuse Combustion apparatus arrangements for burning uncombusted material from primary combustionConsuming waste products by combustion Removal or treatment of combustion products or combustion residuesRemoving emulsion from waste photographic material Collecting or recycling waste developer used in electrography, electrophotography, magnetographyTreating radioactively contaminated solidsApparatus or processes for salvaging material from electric cables Recovery of material from discharge tubes or lampsReclaiming serviceable parts of waste cells or batteries Reclaiming serviceable parts of waste accumulators","A23J1/16|A23K10/20|A23K10/26|A23K10/37|A23K10/38|A43B1/12|A61L11/00|A62D3/00|B01D53/34|B02C18/00|B02C18/0084|B03B7/00|B03B9/06|B05B12/16|B05B14/00|B08B15/00|B22F8/00|B23D25/14|B24B55/12|B27B33/20|B29B17/00|B30B9/32|B62D67/00|B63B17/06|B63J4/006|B65F1/00|B65F3/00|B65F5/00|B65F7/00|C03C1/00|C04B7/24|C04B11/26|C04B18/04|C04B22/0006|C04B24/001|C05F|C05F9/00|C08B16/00|C08J9/33|C08J11/00|C08L17/00|C09K11/01|C10B53/00|C10B57/00|C10G1/10|C10L5/46|C10L5/48|C10M175/02|C11B13/00|C11D19/00|C12F3/00|C12F3/08|C12P7/08|C22B7/00|C22B19/28|C22B19/30|C22B25/06|C25D13/24|C25D21/16|D01B|D01C5/00|D01F13/00|D01G11/00|D01H11/00|D06L1/10|D21B1/08|D21B1/32|D21C5/02|D21C11/14|D21F1/66|D21H17/01|E03F|E04F17/10|F23B5/00|F23G|F23J|G03C11/24|G03G21/10|G21F9/28|H01B15/00|H01J9/52|H01M6/52|H01M10/54","In this subclass, it is desirable to classify the type(s) of solid waste with an appropriate Indexing symbol in  – .","B09B2101/00|B09B2101/95","Disposal Discarding, e.g. dumping, or destroying of waste or its transformation into something useful or harmless.Solid wasteIncludes waste, which although it has liquid content, is for practical purposes handled as solid.","This place covers: Only single or combined, e.g. multistage, operations not fully classifiable in a single other subclass."
"B09B1/00","Dumping solid waste","","","","","","","This place covers: Disposing of solid waste by means of dumping, either as bulk material or as discrete elements of stabilized and/or packaged waste. Dumping may be within underground cavities. Example: US-A1-2003/053865"
"B09B1/002","{Sea dumping  (disposal of radioactively contaminated material by storage under water G21F9/24)}","G21F9/24","","","","","","This place covers: Dumping solid waste on or into the seabed. Example: BE-A5-1015677"
"B09B1/004","{Covering of dumping sites}","","","","","","","This place covers: Covering dumped waste, the cover means being applied to the top surface of the dumped waste. Example: US-A1-2002/067953"
"B09B1/006","{Shafts or wells in waste dumps}","","","","","","","This place covers: Shafts or wells and providing these in waste dumps, the shafts or wells being manufactured before, during or after dumping the solid waste. Example: DE-A-4312267"
"B09B3/00","Destroying solid waste or transforming solid waste into something useful or harmless","","","","","","","This place covers: Destroying solid waste or transforming solid waste or contaminated solids into something useful or harmless, as long as this is not fully classifiable in a single other subclass."
"B09B3/0066","{Disposal of asbestos}","","","","","","","This place covers: Disposal of asbestos or asbestos-containing waste other than by means of dumping. Example: WO-A1-99/37590"
"B09B3/0075","{Disposal of medical waste  (casings for used articles, e.g. sharps A61B50/362; sterilisation of refuse A61L11/00; disposal of used needles or syringes A61M5/3205; disintegrating medical waste B02C19/0075)}","A61B50/362|A61L11/00|A61M5/3205|B02C19/0075","","","","","","This place covers: Disposal of medical waste other than by means of dumping. Example: US-A-5656248"
"B09B3/10","involving an adsorption step","","Separating processes involving the treatment of liquids with solid sorbentsSeparation of gases or vapours by adsorption ","B01D15/00|B01D53/02","","","",""
"B09B3/20","Agglomeration, binding or encapsulation of solid waste","","Solidification of sludgeWaste materials as compounding ingredients in polymers","C02F11/008|C08K11/005","","","",""
