"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G04R","RADIO-CONTROLLED TIME-PIECES","","Electronic time-pieces integrated with input or output devices using radio waves","G04G21/04","","","",""
"G04R20/00","Setting the time according to the time information carried or implied by the radio signal","","Tuning resonant circuits","H03J","","","GPSGlobal Positioning SystemCall signin broadcasting or radio communications, designates a transmitting station. A call sign can be formally assigned by a government agency or informally adopted by individuals or organizationsDCF77designates the call sign broadcast from Mainflingen, about 25 km south-east of Frankfurt am Main, GermanyJJ40, JJY60designates the call sign broadcast from Mount Otakadoya (in Fukushima prefecture, Japan) at 40 kHz and from Mount Hagane (in Saga prefecture, Japan) at 60 kHzMSF60designates the call sign broadcast from Anthorn (UK) at 60 kHz with a range up to 1500 km, which covers all of UKWWVBdesignates the call sign of the United States National Institute of Standards and Technology's (NIST) radio station in Fort Collins, Colorado, that transmits carrier and time code (no voice) on 60 kHz (low frequency [LF] band), and which is used for synchronising radio-controlled clocks throughout the North AmericaGSMGlobal System for Mobile communications, originally from the French Groupe Spécial MobileAM/FMAmplitude Modulation / Frequency ModulationUMTSUniversal Mobile Telecommunications System3GInternational Mobile Telecommunications-2000 (IMT-2000), better known as 3G or 3rd GenerationRDSRadio Data System",""
"G04R60/00","Constructional details","","Structural details or housings of electronic time-pieces","G04G17/00","","","",""
